Accident,Level,Parent,Code
ice yacht,1,Accident(to),V98.2,,,,,
in,1,Accident(to),,,,,,
"medical, surgical procedure",2,in,,,,,,
"as, or due to misadventure",3,"medical, surgical procedure",,,,,,
causing an abnormal reaction or later complication without mention of misadventure,3,"medical, surgical procedure",Y84.9,,,,,
land yacht,1,Accident(to),V98.1,,,,,
late effect of,1,Accident(to),,,,,,
logging car,1,Accident(to),,,,,,
"machine, machinery",1,Accident(to),,,,,,
on board watercraft,2,"machine, machinery",V93.69,,,,,
explosion,3,on board watercraft,,,,,,
fire,3,on board watercraft,,,,,,
powered craft,3,on board watercraft,V93.63,,,,,
ferry boat,4,powered craft,V93.61,,,,,
fishing boat,4,powered craft,V93.62,,,,,
jetskis,4,powered craft,V93.63,,,,,
liner,4,powered craft,V93.61,,,,,
merchant ship,4,powered craft,V93.60,,,,,
passenger ship,4,powered craft,V93.61,,,,,
sailboat,4,powered craft,V93.64,,,,,
mine tram,1,Accident(to),,,,,,
mobility scooter(motorized),1,Accident(to),,,,,,
motor scooter,1,Accident(to),,,,,,
motor vehicle NOS(traffic),1,Accident(to),V89.2,,,,,
nontraffic,2,motor vehicle NOS(traffic),V89.0,,,,,
three-wheeled NOS,2,motor vehicle NOS(traffic),,,,,,
motorcycle NOS,1,Accident(to),,,,,,
nonmotor vehicle NOS(nontraffic),1,Accident(to),V89.1,,,,,
traffic NOS,2,nonmotor vehicle NOS(nontraffic),V89.3,,,,,
nontraffic(victim's mode of transport NOS),1,Accident(to),V88.9,,,,,
collision(between),2,nontraffic(victim's mode of transport NOS),V88.7,,,,,
bus and truck,3,collision(between),V88.5,,,,,
car and:,3,collision(between),,,,,,
bus,4,car and:,V88.3,,,,,
pickup,4,car and:,V88.2,,,,,
three-wheeled motor vehicle,4,car and:,V88.0,,,,,
train,4,car and:,V88.6,,,,,
truck,4,car and:,V88.4,,,,,
two-wheeled motor vehicle,4,car and:,V88.0,,,,,
van,4,car and:,V88.2,,,,,
specified vehicle NEC and:,3,collision(between),,,,,,
three-wheeled motor vehicle,4,specified vehicle NEC and:,V88.1,,,,,
two-wheeled motor vehicle,4,specified vehicle NEC and:,V88.1,,,,,
known mode of transport,2,nontraffic(victim's mode of transport NOS),,,,,,
noncollision,2,nontraffic(victim's mode of transport NOS),V88.8,,,,,
on board watercraft,1,Accident(to),V93.89,,,,,
powered craft,2,on board watercraft,V93.83,,,,,
ferry boat,3,powered craft,V93.81,,,,,
fishing boat,3,powered craft,V93.82,,,,,
jetskis,3,powered craft,V93.83,,,,,
liner,3,powered craft,V93.81,,,,,
merchant ship,3,powered craft,V93.80,,,,,
passenger ship,3,powered craft,V93.81,,,,,
unpowered craft,2,on board watercraft,V93.88,,,,,
canoe,3,unpowered craft,V93.85,,,,,
inflatable,3,unpowered craft,V93.86,,,,,
in tow,4,inflatable,,,,,,
recreational,5,in tow,V94.31,,,,,
specified NEC,5,in tow,V94.32,,,,,
kayak,3,unpowered craft,V93.85,,,,,
sailboat,3,unpowered craft,V93.84,,,,,
surf-board,3,unpowered craft,V93.88,,,,,
water skis,3,unpowered craft,V93.87,,,,,
windsurfer,3,unpowered craft,V93.88,,,,,
parachutist,1,Accident(to),V97.29,,,,,
entangled in object,2,parachutist,V97.21,,,,,
injured on landing,2,parachutist,V97.22,,,,,
pedal cycle,1,Accident(to),,,,,,
pedestrian(on foot),1,Accident(to),,,,,,
with,2,pedestrian(on foot),,,,,,
another pedestrian,3,with,W51,,,,,
with fall,4,another pedestrian,W03,,,,,
due to ice or snow,5,with fall,W00.0,,,,,
on pedestrian conveyance NEC,4,another pedestrian,V00.09,,,,,
rider of,3,with,,,,,,
hoverboard,4,rider of,V00.038,,,,,
Segway,4,rider of,V00.038,,,,,
standing,4,rider of,,,,,,
electric scooter,5,standing,V00.031,,,,,
micro-mobility pedestrian conveyance NEC,5,standing,V00.038,,,,,
roller skater(in-line),3,with,V00.01,,,,,
skate boarder,3,with,V00.02,,,,,
transport vehicle,3,with,,,,,,
on pedestrian conveyance,2,pedestrian(on foot),,,,,,
pick-up truck or van,1,Accident(to),,,,,,
quarry truck,1,Accident(to),,,,,,
railway vehicle(any) (in motion),1,Accident(to),,,,,,
due to cataclysm,2,railway vehicle(any) (in motion),,,,,,
scooter(non-motorized),1,Accident(to),,,,,,
sequelae of,1,Accident(to),,,,,,
skateboard,1,Accident(to),,,,,,
ski(ing),1,Accident(to),,,,,,
lift,2,ski(ing),V98.3,,,,,
specified cause NEC,1,Accident(to),X58,,,,,
streetcar,1,Accident(to),,,,,,
traffic(victim's mode of transport NOS),1,Accident(to),V87.9,,,,,
collision(between),2,traffic(victim's mode of transport NOS),V87.7,,,,,
bus and truck,3,collision(between),V87.5,,,,,
car and:,3,collision(between),,,,,,
bus,4,car and:,V87.3,,,,,
pickup,4,car and:,V87.2,,,,,
three-wheeled motor vehicle,4,car and:,V87.0,,,,,
train,4,car and:,V87.6,,,,,
truck,4,car and:,V87.4,,,,,
two-wheeled motor vehicle,4,car and:,V87.0,,,,,
van,4,car and:,V87.2,,,,,
specified vehicle NEC,3,collision(between),V86.39,,,,,
and,4,specified vehicle NEC,,,,,,
three-wheeled motor vehicle,5,and,V87.1,,,,,
two-wheeled motor vehicle,5,and,V87.1,,,,,
driver,4,specified vehicle NEC,V86.09,,,,,
person on outside,4,specified vehicle NEC,V86.29,,,,,
passenger,4,specified vehicle NEC,V86.19,,,,,
while boarding or alighting,4,specified vehicle NEC,V86.49,,,,,
known mode of transport,2,traffic(victim's mode of transport NOS),,,,,,
noncollision,2,traffic(victim's mode of transport NOS),V87.8,,,,,
transport(involving injury to),1,Accident(to),V99,,,,,
18 wheeler,2,transport(involving injury to),,,,,,
agricultural vehicle occupant(nontraffic),2,transport(involving injury to),V84.9,,,,,
driver,3,agricultural vehicle occupant(nontraffic),V84.5,,,,,
hanger-on,3,agricultural vehicle occupant(nontraffic),V84.7,,,,,
passenger,3,agricultural vehicle occupant(nontraffic),V84.6,,,,,
traffic,3,agricultural vehicle occupant(nontraffic),V84.3,,,,,
driver,4,traffic,V84.0,,,,,
hanger-on,4,traffic,V84.2,,,,,
passenger,4,traffic,V84.1,,,,,
while boarding or alighting,3,agricultural vehicle occupant(nontraffic),V84.4,,,,,
aircraft NEC,2,transport(involving injury to),V97.89,,,,,
military NEC,3,aircraft NEC,V97.818,,,,,
with civilian aircraft,4,military NEC,V97.810,,,,,
civilian injured by,4,military NEC,V97.811,,,,,
occupant injured(in),3,aircraft NEC,,,,,,
nonpowered craft accident,4,occupant injured(in),V96.9,,,,,
balloon,5,nonpowered craft accident,V96.00,,,,,
collision,6,balloon,V96.03,,,,,
crash,6,balloon,V96.01,,,,,
explosion,6,balloon,V96.05,,,,,
fire,6,balloon,V96.04,,,,,
forced landing,6,balloon,V96.02,,,,,
specified type NEC,6,balloon,V96.09,,,,,
glider,5,nonpowered craft accident,V96.20,,,,,
collision,6,glider,V96.23,,,,,
crash,6,glider,V96.21,,,,,
explosion,6,glider,V96.25,,,,,
fire,6,glider,V96.24,,,,,
forced landing,6,glider,V96.22,,,,,
specified type NEC,6,glider,V96.29,,,,,
hang glider,5,nonpowered craft accident,V96.10,,,,,
collision,6,hang glider,V96.13,,,,,
crash,6,hang glider,V96.11,,,,,
explosion,6,hang glider,V96.15,,,,,
fire,6,hang glider,V96.14,,,,,
forced landing,6,hang glider,V96.12,,,,,
specified type NEC,6,hang glider,V96.19,,,,,
specified craft NEC,5,nonpowered craft accident,V96.8,,,,,
powered craft accident,4,occupant injured(in),V95.9,,,,,
fixed wing NEC,5,powered craft accident,,,,,,
commercial,6,fixed wing NEC,V95.30,,,,,
collision,7,commercial,V95.33,,,,,
crash,7,commercial,V95.31,,,,,
explosion,7,commercial,V95.35,,,,,
fire,7,commercial,V95.34,,,,,
forced landing,7,commercial,V95.32,,,,,
specified type NEC,7,commercial,V95.39,,,,,
private,6,fixed wing NEC,V95.20,,,,,
collision,7,private,V95.23,,,,,
crash,7,private,V95.21,,,,,
explosion,7,private,V95.25,,,,,
fire,7,private,V95.24,,,,,
forced landing,7,private,V95.22,,,,,
specified type NEC,7,private,V95.29,,,,,
glider,5,powered craft accident,V95.10,,,,,
collision,6,glider,V95.13,,,,,
crash,6,glider,V95.11,,,,,
explosion,6,glider,V95.15,,,,,
fire,6,glider,V95.14,,,,,
forced landing,6,glider,V95.12,,,,,
specified type NEC,6,glider,V95.19,,,,,
helicopter,5,powered craft accident,V95.00,,,,,
collision,6,helicopter,V95.03,,,,,
crash,6,helicopter,V95.01,,,,,
explosion,6,helicopter,V95.05,,,,,
fire,6,helicopter,V95.04,,,,,
forced landing,6,helicopter,V95.02,,,,,
specified type NEC,6,helicopter,V95.09,,,,,
spacecraft,5,powered craft accident,V95.40,,,,,
collision,6,spacecraft,V95.43,,,,,
crash,6,spacecraft,V95.41,,,,,
explosion,6,spacecraft,V95.45,,,,,
fire,6,spacecraft,V95.44,,,,,
forced landing,6,spacecraft,V95.42,,,,,
specified type NEC,6,spacecraft,V95.49,,,,,
specified craft NEC,5,powered craft accident,V95.8,,,,,
ultralight,5,powered craft accident,V95.10,,,,,
collision,6,ultralight,V95.13,,,,,
crash,6,ultralight,V95.11,,,,,
explosion,6,ultralight,V95.15,,,,,
fire,6,ultralight,V95.14,,,,,
forced landing,6,ultralight,V95.12,,,,,
specified type NEC,6,ultralight,V95.19,,,,,
specified accident NEC,4,occupant injured(in),V97.0,,,,,
while boarding or alighting,4,occupant injured(in),V97.1,,,,,
person(injured by),3,aircraft NEC,,,,,,
"falling from, in or on aircraft",4,person(injured by),V97.0,,,,,
machinery on aircraft,4,person(injured by),V97.89,,,,,
on ground with aircraft involvement,4,person(injured by),V97.39,,,,,
rotating propeller,4,person(injured by),V97.32,,,,,
struck by object falling from aircraft,4,person(injured by),V97.31,,,,,
sucked into aircraft jet,4,person(injured by),V97.33,,,,,
while boarding or alighting aircraft,4,person(injured by),V97.1,,,,,
airport(battery-powered) passenger vehicle,2,transport(involving injury to),,,,,,
all-terrain vehicle occupant(nontraffic),2,transport(involving injury to),V86.95,,,,,
driver,3,all-terrain vehicle occupant(nontraffic),V86.55,,,,,
dune buggy,3,all-terrain vehicle occupant(nontraffic),,,,,,
hanger-on,3,all-terrain vehicle occupant(nontraffic),V86.75,,,,,
passenger,3,all-terrain vehicle occupant(nontraffic),V86.65,,,,,
snowmobile,3,all-terrain vehicle occupant(nontraffic),,,,,,
specified type NEC,3,all-terrain vehicle occupant(nontraffic),V86.99,,,,,
driver,4,specified type NEC,V86.59,,,,,
passenger,4,specified type NEC,V86.69,,,,,
person on outside,4,specified type NEC,V86.79,,,,,
traffic,3,all-terrain vehicle occupant(nontraffic),V86.35,,,,,
driver,4,traffic,V86.05,,,,,
hanger-on,4,traffic,V86.25,,,,,
passenger,4,traffic,V86.15,,,,,
while boarding or alighting,3,all-terrain vehicle occupant(nontraffic),V86.45,,,,,
ambulance occupant(traffic),2,transport(involving injury to),V86.31,,,,,
driver,3,ambulance occupant(traffic),V86.01,,,,,
hanger-on,3,ambulance occupant(traffic),V86.21,,,,,
nontraffic,3,ambulance occupant(traffic),V86.91,,,,,
driver,4,nontraffic,V86.51,,,,,
hanger-on,4,nontraffic,V86.71,,,,,
passenger,4,nontraffic,V86.61,,,,,
passenger,3,ambulance occupant(traffic),V86.11,,,,,
while boarding or alighting,3,ambulance occupant(traffic),V86.41,,,,,
animal-drawn vehicle occupant(in),2,transport(involving injury to),V80.929,,,,,
collision(with),3,animal-drawn vehicle occupant(in),,,,,,
animal,4,collision(with),V80.12,,,,,
being ridden,5,animal,V80.711,,,,,
animal-drawn vehicle,4,collision(with),V80.721,,,,,
bus,4,collision(with),V80.42,,,,,
car,4,collision(with),V80.42,,,,,
fixed or stationary object,4,collision(with),V80.82,,,,,
military vehicle,4,collision(with),V80.920,,,,,
nonmotor vehicle,4,collision(with),V80.791,,,,,
pedal cycle,4,collision(with),V80.22,,,,,
pedestrian,4,collision(with),V80.12,,,,,
pickup,4,collision(with),V80.42,,,,,
railway train or vehicle,4,collision(with),V80.62,,,,,
specified motor vehicle NEC,4,collision(with),V80.52,,,,,
streetcar,4,collision(with),V80.731,,,,,
truck,4,collision(with),V80.42,,,,,
two- or three-wheeled motor vehicle,4,collision(with),V80.32,,,,,
van,4,collision(with),V80.42,,,,,
noncollision,3,animal-drawn vehicle occupant(in),V80.02,,,,,
specified circumstance NEC,3,animal-drawn vehicle occupant(in),V80.928,,,,,
animal-rider,2,transport(involving injury to),V80.919,,,,,
collision(with),3,animal-rider,,,,,,
animal,4,collision(with),V80.11,,,,,
being ridden,5,animal,V80.710,,,,,
animal-drawn vehicle,4,collision(with),V80.720,,,,,
bus,4,collision(with),V80.41,,,,,
car,4,collision(with),V80.41,,,,,
fixed or stationary object,4,collision(with),V80.81,,,,,
military vehicle,4,collision(with),V80.910,,,,,
nonmotor vehicle,4,collision(with),V80.790,,,,,
pedal cycle,4,collision(with),V80.21,,,,,
pedestrian,4,collision(with),V80.11,,,,,
pickup,4,collision(with),V80.41,,,,,
railway train or vehicle,4,collision(with),V80.61,,,,,
specified motor vehicle NEC,4,collision(with),V80.51,,,,,
streetcar,4,collision(with),V80.730,,,,,
truck,4,collision(with),V80.41,,,,,
two- or three-wheeled motor vehicle,4,collision(with),V80.31,,,,,
van,4,collision(with),V80.41,,,,,
noncollision,3,animal-rider,V80.018,,,,,
specified as horse rider,4,noncollision,V80.010,,,,,
specified circumstance NEC,3,animal-rider,V80.918,,,,,
armored car,2,transport(involving injury to),,,,,,
battery-powered truck(baggage) (mail),2,transport(involving injury to),,,,,,
bus occupant,2,transport(involving injury to),V79.9,,,,,
collision(with),3,bus occupant,,,,,,
animal(traffic),4,collision(with),V70.9,,,,,
being ridden(traffic),5,animal(traffic),V76.9,,,,,
nontraffic,6,being ridden(traffic),V76.3,,,,,
while boarding or alighting,6,being ridden(traffic),V76.4,,,,,
nontraffic,5,animal(traffic),V70.3,,,,,
while boarding or alighting,5,animal(traffic),V70.4,,,,,
animal-drawn vehicle(traffic),4,collision(with),V76.9,,,,,
nontraffic,5,animal-drawn vehicle(traffic),V76.3,,,,,
while boarding or alighting,5,animal-drawn vehicle(traffic),V76.4,,,,,
bus(traffic),4,collision(with),V74.9,,,,,
nontraffic,5,bus(traffic),V74.3,,,,,
while boarding or alighting,5,bus(traffic),V74.4,,,,,
car(traffic),4,collision(with),V73.9,,,,,
nontraffic,5,car(traffic),V73.3,,,,,
while boarding or alighting,5,car(traffic),V73.4,,,,,
motor vehicle NOS(traffic),4,collision(with),V79.60,,,,,
nontraffic,5,motor vehicle NOS(traffic),V79.20,,,,,
specified type NEC(traffic),5,motor vehicle NOS(traffic),V79.69,,,,,
nontraffic,6,specified type NEC(traffic),V79.29,,,,,
pedal cycle(traffic),4,collision(with),V71.9,,,,,
nontraffic,5,pedal cycle(traffic),V71.3,,,,,
while boarding or alighting,5,pedal cycle(traffic),V71.4,,,,,
pickup truck(traffic),4,collision(with),V73.9,,,,,
nontraffic,5,pickup truck(traffic),V73.3,,,,,
while boarding or alighting,5,pickup truck(traffic),V73.4,,,,,
railway vehicle(traffic),4,collision(with),V75.9,,,,,
nontraffic,5,railway vehicle(traffic),V75.3,,,,,
while boarding or alighting,5,railway vehicle(traffic),V75.4,,,,,
specified vehicle NEC(traffic),4,collision(with),V76.9,,,,,
nontraffic,5,specified vehicle NEC(traffic),V76.3,,,,,
while boarding or alighting,5,specified vehicle NEC(traffic),V76.4,,,,,
stationary object(traffic),4,collision(with),V77.9,,,,,
nontraffic,5,stationary object(traffic),V77.3,,,,,
while boarding or alighting,5,stationary object(traffic),V77.4,,,,,
streetcar(traffic),4,collision(with),V76.9,,,,,
nontraffic,5,streetcar(traffic),V76.3,,,,,
while boarding or alighting,5,streetcar(traffic),V76.4,,,,,
three wheeled motor vehicle(traffic),4,collision(with),V72.9,,,,,
nontraffic,5,three wheeled motor vehicle(traffic),V72.3,,,,,
while boarding or alighting,5,three wheeled motor vehicle(traffic),V72.4,,,,,
truck(traffic),4,collision(with),V74.9,,,,,
nontraffic,5,truck(traffic),V74.3,,,,,
while boarding or alighting,5,truck(traffic),V74.4,,,,,
two wheeled motor vehicle(traffic),4,collision(with),V72.9,,,,,
nontraffic,5,two wheeled motor vehicle(traffic),V72.3,,,,,
while boarding or alighting,5,two wheeled motor vehicle(traffic),V72.4,,,,,
van(traffic),4,collision(with),V73.9,,,,,
nontraffic,5,van(traffic),V73.3,,,,,
while boarding or alighting,5,van(traffic),V73.4,,,,,
driver,3,bus occupant,,,,,,
collision(with),4,driver,,,,,,
animal(traffic),5,collision(with),V70.5,,,,,
being ridden(traffic),6,animal(traffic),V76.5,,,,,
nontraffic,7,being ridden(traffic),V76.0,,,,,
nontraffic,6,animal(traffic),V70.0,,,,,
animal-drawn vehicle(traffic),5,collision(with),V76.5,,,,,
nontraffic,6,animal-drawn vehicle(traffic),V76.0,,,,,
bus(traffic),5,collision(with),V74.5,,,,,
nontraffic,6,bus(traffic),V74.0,,,,,
car(traffic),5,collision(with),V73.5,,,,,
nontraffic,6,car(traffic),V73.0,,,,,
motor vehicle NOS(traffic),5,collision(with),V79.40,,,,,
nontraffic,6,motor vehicle NOS(traffic),V79.00,,,,,
specified type NEC(traffic),6,motor vehicle NOS(traffic),V79.49,,,,,
nontraffic,7,specified type NEC(traffic),V79.09,,,,,
pedal cycle(traffic),5,collision(with),V71.5,,,,,
nontraffic,6,pedal cycle(traffic),V71.0,,,,,
pickup truck(traffic),5,collision(with),V73.5,,,,,
nontraffic,6,pickup truck(traffic),V73.0,,,,,
railway vehicle(traffic),5,collision(with),V75.5,,,,,
nontraffic,6,railway vehicle(traffic),V75.0,,,,,
specified vehicle NEC(traffic),5,collision(with),V76.5,,,,,
nontraffic,6,specified vehicle NEC(traffic),V76.0,,,,,
stationary object(traffic),5,collision(with),V77.5,,,,,
nontraffic,6,stationary object(traffic),V77.0,,,,,
streetcar(traffic),5,collision(with),V76.5,,,,,
nontraffic,6,streetcar(traffic),V76.0,,,,,
three wheeled motor vehicle(traffic),5,collision(with),V72.5,,,,,
nontraffic,6,three wheeled motor vehicle(traffic),V72.0,,,,,
truck(traffic),5,collision(with),V74.5,,,,,
nontraffic,6,truck(traffic),V74.0,,,,,
two wheeled motor vehicle(traffic),5,collision(with),V72.5,,,,,
nontraffic,6,two wheeled motor vehicle(traffic),V72.0,,,,,
van(traffic),5,collision(with),V73.5,,,,,
nontraffic,6,van(traffic),V73.0,,,,,
noncollision accident(traffic),4,driver,V78.5,,,,,
nontraffic,5,noncollision accident(traffic),V78.0,,,,,
noncollision accident(traffic),3,bus occupant,V78.9,,,,,
nontraffic,4,noncollision accident(traffic),V78.3,,,,,
while boarding or alighting,4,noncollision accident(traffic),V78.4,,,,,
nontraffic,3,bus occupant,V79.3,,,,,
hanger-on,3,bus occupant,,,,,,
collision(with),4,hanger-on,,,,,,
animal(traffic),5,collision(with),V70.7,,,,,
being ridden(traffic),6,animal(traffic),V76.7,,,,,
nontraffic,7,being ridden(traffic),V76.2,,,,,
nontraffic,6,animal(traffic),V70.2,,,,,
animal-drawn vehicle(traffic),5,collision(with),V76.7,,,,,
nontraffic,6,animal-drawn vehicle(traffic),V76.2,,,,,
bus(traffic),5,collision(with),V74.7,,,,,
nontraffic,6,bus(traffic),V74.2,,,,,
car(traffic),5,collision(with),V73.7,,,,,
nontraffic,6,car(traffic),V73.2,,,,,
pedal cycle(traffic),5,collision(with),V71.7,,,,,
nontraffic,6,pedal cycle(traffic),V71.2,,,,,
pickup truck(traffic),5,collision(with),V73.7,,,,,
nontraffic,6,pickup truck(traffic),V73.2,,,,,
railway vehicle(traffic),5,collision(with),V75.7,,,,,
nontraffic,6,railway vehicle(traffic),V75.2,,,,,
specified vehicle NEC(traffic),5,collision(with),V76.7,,,,,
nontraffic,6,specified vehicle NEC(traffic),V76.2,,,,,
stationary object(traffic),5,collision(with),V77.7,,,,,
nontraffic,6,stationary object(traffic),V77.2,,,,,
streetcar(traffic),5,collision(with),V76.7,,,,,
nontraffic,6,streetcar(traffic),V76.2,,,,,
three wheeled motor vehicle(traffic),5,collision(with),V72.7,,,,,
nontraffic,6,three wheeled motor vehicle(traffic),V72.2,,,,,
truck(traffic),5,collision(with),V74.7,,,,,
nontraffic,6,truck(traffic),V74.2,,,,,
two wheeled motor vehicle(traffic),5,collision(with),V72.7,,,,,
nontraffic,6,two wheeled motor vehicle(traffic),V72.2,,,,,
van(traffic),5,collision(with),V73.7,,,,,
nontraffic,6,van(traffic),V73.2,,,,,
noncollision accident(traffic),4,hanger-on,V78.7,,,,,
nontraffic,5,noncollision accident(traffic),V78.2,,,,,
passenger,3,bus occupant,,,,,,
collision(with),4,passenger,,,,,,
animal(traffic),5,collision(with),V70.6,,,,,
being ridden(traffic),6,animal(traffic),V76.6,,,,,
nontraffic,7,being ridden(traffic),V76.1,,,,,
nontraffic,6,animal(traffic),V70.1,,,,,
animal-drawn vehicle(traffic),5,collision(with),V76.6,,,,,
nontraffic,6,animal-drawn vehicle(traffic),V76.1,,,,,
bus(traffic),5,collision(with),V74.6,,,,,
nontraffic,6,bus(traffic),V74.1,,,,,
car(traffic),5,collision(with),V73.6,,,,,
nontraffic,6,car(traffic),V73.1,,,,,
motor vehicle NOS(traffic),5,collision(with),V79.50,,,,,
nontraffic,6,motor vehicle NOS(traffic),V79.10,,,,,
specified type NEC(traffic),6,motor vehicle NOS(traffic),V79.59,,,,,
nontraffic,7,specified type NEC(traffic),V79.19,,,,,
pedal cycle(traffic),5,collision(with),V71.6,,,,,
nontraffic,6,pedal cycle(traffic),V71.1,,,,,
pickup truck(traffic),5,collision(with),V73.6,,,,,
nontraffic,6,pickup truck(traffic),V73.1,,,,,
railway vehicle(traffic),5,collision(with),V75.6,,,,,
nontraffic,6,railway vehicle(traffic),V75.1,,,,,
specified vehicle NEC(traffic),5,collision(with),V76.6,,,,,
nontraffic,6,specified vehicle NEC(traffic),V76.1,,,,,
stationary object(traffic),5,collision(with),V77.6,,,,,
nontraffic,6,stationary object(traffic),V77.1,,,,,
streetcar(traffic),5,collision(with),V76.6,,,,,
nontraffic,6,streetcar(traffic),V76.1,,,,,
three wheeled motor vehicle(traffic),5,collision(with),V72.6,,,,,
nontraffic,6,three wheeled motor vehicle(traffic),V72.1,,,,,
truck(traffic),5,collision(with),V74.6,,,,,
nontraffic,6,truck(traffic),V74.1,,,,,
two wheeled motor vehicle(traffic),5,collision(with),V72.6,,,,,
nontraffic,6,two wheeled motor vehicle(traffic),V72.1,,,,,
van(traffic),5,collision(with),V73.6,,,,,
nontraffic,6,van(traffic),V73.1,,,,,
noncollision accident(traffic),4,passenger,V78.6,,,,,
nontraffic,5,noncollision accident(traffic),V78.1,,,,,
specified type NEC,3,bus occupant,V79.88,,,,,
military vehicle,4,specified type NEC,V79.81,,,,,
"cable car, not on rails",2,transport(involving injury to),V98.0,,,,,
on rails,3,"cable car, not on rails",,,,,,
car occupant,2,transport(involving injury to),V49.9,,,,,
ambulance occupant,3,car occupant,,,,,,
collision(with),3,car occupant,,,,,,
animal(traffic),4,collision(with),V40.9,,,,,
being ridden(traffic),5,animal(traffic),V46.9,,,,,
nontraffic,6,being ridden(traffic),V46.3,,,,,
while boarding or alighting,6,being ridden(traffic),V46.4,,,,,
nontraffic,5,animal(traffic),V40.3,,,,,
while boarding or alighting,5,animal(traffic),V40.4,,,,,
animal-drawn vehicle(traffic),4,collision(with),V46.9,,,,,
nontraffic,5,animal-drawn vehicle(traffic),V46.3,,,,,
while boarding or alighting,5,animal-drawn vehicle(traffic),V46.4,,,,,
bus(traffic),4,collision(with),V44.9,,,,,
nontraffic,5,bus(traffic),V44.3,,,,,
while boarding or alighting,5,bus(traffic),V44.4,,,,,
car(traffic),4,collision(with),V43.92,,,,,
nontraffic,5,car(traffic),V43.32,,,,,
while boarding or alighting,5,car(traffic),V43.42,,,,,
motor vehicle NOS(traffic),4,collision(with),V49.60,,,,,
nontraffic,5,motor vehicle NOS(traffic),V49.20,,,,,
specified type NEC(traffic),5,motor vehicle NOS(traffic),V49.69,,,,,
nontraffic,6,specified type NEC(traffic),V49.29,,,,,
pedal cycle(traffic),4,collision(with),V41.9,,,,,
nontraffic,5,pedal cycle(traffic),V41.3,,,,,
while boarding or alighting,5,pedal cycle(traffic),V41.4,,,,,
pickup truck(traffic),4,collision(with),V43.93,,,,,
nontraffic,5,pickup truck(traffic),V43.33,,,,,
while boarding or alighting,5,pickup truck(traffic),V43.43,,,,,
railway vehicle(traffic),4,collision(with),V45.9,,,,,
nontraffic,5,railway vehicle(traffic),V45.3,,,,,
while boarding or alighting,5,railway vehicle(traffic),V45.4,,,,,
specified vehicle NEC(traffic),4,collision(with),V46.9,,,,,
nontraffic,5,specified vehicle NEC(traffic),V46.3,,,,,
while boarding or alighting,5,specified vehicle NEC(traffic),V46.4,,,,,
sport utility vehicle(traffic),4,collision(with),V43.91,,,,,
nontraffic,5,sport utility vehicle(traffic),V43.31,,,,,
while boarding or alighting,5,sport utility vehicle(traffic),V43.41,,,,,
stationary object(traffic),4,collision(with),V47.9,,,,,
nontraffic,5,stationary object(traffic),V47.3,,,,,
while boarding or alighting,5,stationary object(traffic),V47.4,,,,,
