Neoplasm,Level,Parent,Malignant Primary,Malignant Secondary,Ca in situ,Benign,Uncertain Behavior,Unspecified Behavior
upper,2,alveolus,C03.0,C79.89,D00.03,D10.39,D37.09,D49.0
ampulla of Vater,1,Neoplasm, neoplastic,C24.1,C78.89,D01.5,D13.5,D37.6,D49.0
ankle NEC,1,Neoplasm, neoplastic,C76.5-,C79.89,D04.7-,D36.7,D48.7,D49.89
"anorectum, anorectal(junction)",1,Neoplasm, neoplastic,C21.8,C78.5,D01.3,D12.9,D37.8,D49.0
antecubital fossa or space,1,Neoplasm, neoplastic,C76.4-,C79.89,D04.6-,D36.7,D48.7,D49.89
antrum(Highmore) (maxillary),1,Neoplasm, neoplastic,C31.0,C78.39,D02.3,D14.0,D38.5,D49.1
pyloric,2,antrum(Highmore) (maxillary),C16.3,C78.89,D00.2,D13.1,D37.1,D49.0
tympanicum,2,antrum(Highmore) (maxillary),C30.1,C78.39,D02.3,D14.0,D38.5,D49.1
"anus, anal",1,Neoplasm, neoplastic,C21.0,C78.5,D01.3,D12.9,D37.8,D49.0
canal,2,anus, anal,C21.1,C78.5,D01.3,D12.9,D37.8,D49.0
cloacogenic zone,2,anus, anal,C21.2,C78.5,D01.3,D12.9,D37.8,D49.0
margin,2,anus, anal,C44.500,C79.2,D04.5,D23.5,D48.5,D49.2
overlapping lesion with rectosigmoid junction or rectum,2,anus, anal,C21.8,,,,,
skin,2,anus, anal,C44.500,C79.2,D04.5,D23.5,D48.5,D49.2
basal cell carcinoma,3,skin,C44.510,,,,,
specified type NEC,3,skin,C44.590,,,,,
squamous cell carcinoma,3,skin,C44.520,,,,,
sphincter,2,anus, anal,C21.1,C78.5,D01.3,D12.9,D37.8,D49.0
aorta(thoracic),1,Neoplasm, neoplastic,C49.3,C79.89,,D21.3,D48.1,D49.2
abdominal,2,aorta(thoracic),C49.4,C79.89,,D21.4,D48.1,D49.2
aortic body,1,Neoplasm, neoplastic,C75.5,C79.89,,D35.6,D44.7,D49.7
aponeurosis,1,Neoplasm, neoplastic,C49.9,C79.89,,D21.9,D48.1,D49.2
palmar,2,aponeurosis,C49.1-,C79.89,,D21.1-,D48.1,D49.2
plantar,2,aponeurosis,C49.2-,C79.89,,D21.2-,D48.1,D49.2
appendix,1,Neoplasm, neoplastic,C18.1,C78.5,D01.0,D12.1,D37.3,D49.0
arachnoid,1,Neoplasm, neoplastic,C70.9,C79.49,,D32.9,D42.9,D49.7
cerebral,2,arachnoid,C70.0,C79.32,,D32.0,D42.0,D49.7
spinal,2,arachnoid,C70.1,C79.49,,D32.1,D42.1,D49.7
areola,1,Neoplasm, neoplastic,C50.0-,C79.81,D05.-,D24.-,D48.6-,D49.3
arm NEC,1,Neoplasm, neoplastic,C76.4-,C79.89,D04.6-,D36.7,D48.7,D49.89
artery,1,Neoplasm, neoplastic,,,,,,
aryepiglottic fold,1,Neoplasm, neoplastic,C13.1,C79.89,D00.08,D10.7,D37.05,D49.0
hypopharyngeal aspect,2,aryepiglottic fold,C13.1,C79.89,D00.08,D10.7,D37.05,D49.0
laryngeal aspect,2,aryepiglottic fold,C32.1,C78.39,D02.0,D14.1,D38.0,D49.1
marginal zone,2,aryepiglottic fold,C13.1,C79.89,D00.08,D10.7,D37.05,D49.0
arytenoid(cartilage),1,Neoplasm, neoplastic,C32.3,C78.39,D02.0,D14.1,D38.0,D49.1
fold,2,arytenoid(cartilage),,,,,,
associated with transplanted organ,1,Neoplasm, neoplastic,C80.2,,,,,
atlas,1,Neoplasm, neoplastic,C41.2,C79.51,,D16.6,D48.0,D49.2
"atrium, cardiac",1,Neoplasm, neoplastic,C38.0,C79.89,,D15.1,D48.7,D49.89
auditory,1,Neoplasm, neoplastic,,,,,,
canal(external) (skin),2,auditory,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
internal,3,canal(external) (skin),C30.1,C78.39,D02.3,D14.0,D38.5,D49.1
nerve,2,auditory,C72.4-,C79.49,,D33.3,D43.3,D49.7
tube,2,auditory,C30.1,C78.39,D02.3,D14.0,D38.5,D49.1
opening,3,tube,C11.2,C79.89,D00.08,D10.6,D37.05,D49.0
"auricle, ear",1,Neoplasm, neoplastic,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
auricular canal(external),1,Neoplasm, neoplastic,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
internal,2,auricular canal(external),C30.1,C78.39,D02.3,D14.0,D38.5,D49.2
"autonomic nerve or nervous system NEC(see Neoplasm, nerve, peripheral)",1,Neoplasm, neoplastic,,,,,,
"axilla, axillary",1,Neoplasm, neoplastic,C76.1,C79.89,D09.8,D36.7,D48.7,D49.89
fold,2,axilla, axillary,C44.509,C79.2,D04.5,D23.5,D48.5,D49.2
back NEC,1,Neoplasm, neoplastic,C76.8,C79.89,D04.5,D36.7,D48.7,D49.89
Bartholin's gland,1,Neoplasm, neoplastic,C51.0,C79.82,D07.1,D28.0,D39.8,D49.59
basal ganglia,1,Neoplasm, neoplastic,C71.0,C79.31,,D33.0,D43.0,D49.6
basis pedunculi,1,Neoplasm, neoplastic,C71.7,C79.31,,D33.1,D43.1,D49.6
bile or biliary(tract),1,Neoplasm, neoplastic,C24.9,C78.89,D01.5,D13.5,D37.6,D49.0
canaliculi(biliferi) (intrahepatic),2,bile or biliary(tract),C22.1,C78.7,D01.5,D13.4,D37.6,D49.0
"canals, interlobular",2,bile or biliary(tract),C22.1,C78.89,D01.5,D13.4,D37.6,D49.0
duct or passage(common) (cystic) (extrahepatic),2,bile or biliary(tract),C24.0,C78.89,D01.5,D13.5,D37.6,D49.0
interlobular,3,duct or passage(common) (cystic) (extrahepatic),C22.1,C78.89,D01.5,D13.4,D37.6,D49.0
intrahepatic,3,duct or passage(common) (cystic) (extrahepatic),C22.1,C78.7,D01.5,D13.4,D37.6,D49.0
and extrahepatic,4,intrahepatic,C24.8,C78.89,D01.5,D13.5,D37.6,D49.0
bladder(urinary),1,Neoplasm, neoplastic,C67.9,C79.11,D09.0,D30.3,D41.4,D49.4
dome,2,bladder(urinary),C67.1,C79.11,D09.0,D30.3,D41.4,D49.4
neck,2,bladder(urinary),C67.5,C79.11,D09.0,D30.3,D41.4,D49.4
orifice,2,bladder(urinary),C67.9,C79.11,D09.0,D30.3,D41.4,D49.4
ureteric,3,orifice,C67.6,C79.11,D09.0,D30.3,D41.4,D49.4
urethral,3,orifice,C67.5,C79.11,D09.0,D30.3,D41.4,D49.4
overlapping lesion,2,bladder(urinary),C67.8,,,,,
sphincter,2,bladder(urinary),C67.8,C79.11,D09.0,D30.3,D41.4,D49.4
trigone,2,bladder(urinary),C67.0,C79.11,D09.0,D30.3,D41.4,D49.4
urachus,2,bladder(urinary),C67.7,C79.11,D09.0,D30.3,D41.4,D49.4
wall,2,bladder(urinary),C67.9,C79.11,D09.0,D30.3,D41.4,D49.4
anterior,3,wall,C67.3,C79.11,D09.0,D30.3,D41.4,D49.4
lateral,3,wall,C67.2,C79.11,D09.0,D30.3,D41.4,D49.4
posterior,3,wall,C67.4,C79.11,D09.0,D30.3,D41.4,D49.4
blood vessel,1,Neoplasm, neoplastic,,,,,,
bone(periosteum),1,Neoplasm, neoplastic,C41.9,C79.51,,D16.9-,D48.0,D49.2
acetabulum,2,bone(periosteum),C41.4,C79.51,,D16.8-,D48.0,D49.2
ankle,2,bone(periosteum),C40.3-,C79.51,,D16.3-,,
arm NEC,2,bone(periosteum),C40.0-,C79.51,,D16.0-,,
astragalus,2,bone(periosteum),C40.3-,C79.51,,D16.3-,,
atlas,2,bone(periosteum),C41.2,C79.51,,D16.6-,D48.0,D49.2
axis,2,bone(periosteum),C41.2,C79.51,,D16.6-,D48.0,D49.2
back NEC,2,bone(periosteum),C41.2,C79.51,,D16.6-,D48.0,D49.2
calcaneus,2,bone(periosteum),C40.3-,C79.51,,D16.3-,,
calvarium,2,bone(periosteum),C41.0,C79.51,,D16.4-,D48.0,D49.2
carpus(any),2,bone(periosteum),C40.1-,C79.51,,D16.1-,,
cartilage NEC,2,bone(periosteum),C41.9,C79.51,,D16.9-,D48.0,D49.2
clavicle,2,bone(periosteum),C41.3,C79.51,,D16.7-,D48.0,D49.2
clivus,2,bone(periosteum),C41.0,C79.51,,D16.4-,D48.0,D49.2
coccygeal vertebra,2,bone(periosteum),C41.4,C79.51,,D16.8-,D48.0,D49.2
coccyx,2,bone(periosteum),C41.4,C79.51,,D16.8-,D48.0,D49.2
costal cartilage,2,bone(periosteum),C41.3,C79.51,,D16.7-,D48.0,D49.2
costovertebral joint,2,bone(periosteum),C41.3,C79.51,,D16.7-,D48.0,D49.2
cranial,2,bone(periosteum),C41.0,C79.51,,D16.4-,D48.0,D49.2
cuboid,2,bone(periosteum),C40.3-,C79.51,,D16.3-,,
cuneiform,2,bone(periosteum),C41.9,C79.51,,D16.9-,D48.0,D49.2
elbow,2,bone(periosteum),C40.0-,C79.51,,D16.0-,,
ethmoid(labyrinth),2,bone(periosteum),C41.0,C79.51,,D16.4-,D48.0,D49.2
face,2,bone(periosteum),C41.0,C79.51,,D16.4-,D48.0,D49.2
femur(any part),2,bone(periosteum),C40.2-,C79.51,,D16.2-,,
fibula(any part),2,bone(periosteum),C40.2-,C79.51,,D16.2-,,
finger(any),2,bone(periosteum),C40.1-,C79.51,,D16.1-,,
foot,2,bone(periosteum),C40.3-,C79.51,,D16.3-,,
forearm,2,bone(periosteum),C40.0-,C79.51,,D16.0-,,
frontal,2,bone(periosteum),C41.0,C79.51,,D16.4-,D48.0,D49.2
hand,2,bone(periosteum),C40.1-,C79.51,,D16.1-,,
heel,2,bone(periosteum),C40.3-,C79.51,,D16.3-,,
hip,2,bone(periosteum),C41.4,C79.51,,D16.8-,D48.0,D49.2
humerus(any part),2,bone(periosteum),C40.0-,C79.51,,D16.0-,,
hyoid,2,bone(periosteum),C41.0,C79.51,,D16.4-,D48.0,D49.2
ilium,2,bone(periosteum),C41.4,C79.51,,D16.8-,D48.0,D49.2
innominate,2,bone(periosteum),C41.4,C79.51,,D16.8-,D48.0,D49.2
intervertebral cartilage or disc,2,bone(periosteum),C41.2,C79.51,,D16.6-,D48.0,D49.2
ischium,2,bone(periosteum),C41.4,C79.51,,D16.8-,D48.0,D49.2
jaw(lower),2,bone(periosteum),C41.1,C79.51,,D16.5-,D48.0,D49.2
knee,2,bone(periosteum),C40.2-,C79.51,,D16.2-,,
leg NEC,2,bone(periosteum),C40.2-,C79.51,,D16.2-,,
limb NEC,2,bone(periosteum),C40.9-,C79.51,,D16.9-,,
lower(long bones),3,limb NEC,C40.2-,C79.51,,D16.2-,,
short bones,4,lower(long bones),C40.3-,C79.51,,D16.3-,,
upper(long bones),3,limb NEC,C40.0-,C79.51,,D16.0-,,
short bones,4,upper(long bones),C40.1-,C79.51,,D16.1-,,
malar,2,bone(periosteum),C41.0,C79.51,,D16.4-,D48.0,D49.2
mandible,2,bone(periosteum),C41.1,C79.51,,D16.5-,D48.0,D49.2
marrow NEC(any bone),2,bone(periosteum),C96.9,C79.52,,,D47.9,D49.89
mastoid,2,bone(periosteum),C41.0,C79.51,,D16.4-,D48.0,D49.2
"maxilla, maxillary(superior)",2,bone(periosteum),C41.0,C79.51,,D16.4-,D48.0,D49.2
inferior,3,maxilla, maxillary(superior),C41.1,C79.51,,D16.5-,D48.0,D49.2
metacarpus(any),2,bone(periosteum),C40.1-,C79.51,,D16.1-,,
metatarsus(any),2,bone(periosteum),C40.3-,C79.51,,D16.3-,,
overlapping sites,2,bone(periosteum),C40.8-,,,,,
navicular,2,bone(periosteum),,,,,,
ankle,3,navicular,C40.3-,C79.51,,,,
hand,3,navicular,C40.1-,C79.51,,,,
"nose, nasal",2,bone(periosteum),C41.0,C79.51,,D16.4-,D48.0,D49.2
occipital,2,bone(periosteum),C41.0,C79.51,,D16.4-,D48.0,D49.2
orbit,2,bone(periosteum),C41.0,C79.51,,D16.4-,D48.0,D49.2
parietal,2,bone(periosteum),C41.0,C79.51,,D16.4-,D48.0,D49.2
patella,2,bone(periosteum),C40.2-,C79.51,,,,
pelvic,2,bone(periosteum),C41.4,C79.51,,D16.8,D48.0,D49.2
phalanges,2,bone(periosteum),,,,,,
foot,3,phalanges,C40.3-,C79.51,,,,
hand,3,phalanges,C40.1-,C79.51,,,,
pubic,2,bone(periosteum),C41.4,C79.51,,D16.8,D48.0,D49.2
radius(any part),2,bone(periosteum),C40.0-,C79.51,,D16.0-,,
rib,2,bone(periosteum),C41.3,C79.51,,D16.7,D48.0,D49.2
sacral vertebra,2,bone(periosteum),C41.4,C79.51,,D16.8,D48.0,D49.2
sacrum,2,bone(periosteum),C41.4,C79.51,,D16.8,D48.0,D49.2
scaphoid,2,bone(periosteum),,,,,,
of ankle,3,scaphoid,C40.3-,C79.51,,,,
of hand,3,scaphoid,C40.1-,C79.51,,,,
scapula(any part),2,bone(periosteum),C40.0-,C79.51,,D16.0-,,
sella turcica,2,bone(periosteum),C41.0,C79.51,,D16.4-,D48.0,D49.2
shoulder,2,bone(periosteum),C40.0-,C79.51,,D16.0-,,
skull,2,bone(periosteum),C41.0,C79.51,,D16.4-,D48.0,D49.2
sphenoid,2,bone(periosteum),C41.0,C79.51,,D16.4-,D48.0,D49.2
"spine, spinal(column)",2,bone(periosteum),C41.2,C79.51,,D16.6,D48.0,D49.2
coccyx,3,spine, spinal(column),C41.4,C79.51,,D16.8,D48.0,D49.2
sacrum,3,spine, spinal(column),C41.4,C79.51,,D16.8,D48.0,D49.2
sternum,2,bone(periosteum),C41.3,C79.51,,D16.7,D48.0,D49.2
tarsus(any),2,bone(periosteum),C40.3-,C79.51,,,,
temporal,2,bone(periosteum),C41.0,C79.51,,D16.4-,D48.0,D49.2
thumb,2,bone(periosteum),C40.1-,C79.51,,,,
tibia(any part),2,bone(periosteum),C40.2-,C79.51,,,,
toe(any),2,bone(periosteum),C40.3-,C79.51,,,,
trapezium,2,bone(periosteum),C40.1-,C79.51,,,,
trapezoid,2,bone(periosteum),C40.1-,C79.51,,,,
turbinate,2,bone(periosteum),C41.0,C79.51,,D16.4-,D48.0,D49.2
ulna(any part),2,bone(periosteum),C40.0-,C79.51,,D16.0-,,
unciform,2,bone(periosteum),C40.1-,C79.51,,,,
vertebra(column),2,bone(periosteum),C41.2,C79.51,,D16.6,D48.0,D49.2
coccyx,3,vertebra(column),C41.4,C79.51,,D16.8,D48.0,D49.2
sacrum,3,vertebra(column),C41.4,C79.51,,D16.8,D48.0,D49.2
vomer,2,bone(periosteum),C41.0,C79.51,,D16.4-,D48.0,D49.2
wrist,2,bone(periosteum),C40.1-,C79.51,,,,
xiphoid process,2,bone(periosteum),C41.3,C79.51,,D16.7,D48.0,D49.2
zygomatic,2,bone(periosteum),C41.0,C79.51,,D16.4-,D48.0,D49.2
book-leaf(mouth),1,Neoplasm, neoplastic,C06.89,C79.89,D00.00,D10.39,D37.09,D49.0
bowel,1,Neoplasm, neoplastic,,,,,,
brachial plexus,1,Neoplasm, neoplastic,C47.1-,C79.89,,D36.12,D48.2,D49.2
brain NEC,1,Neoplasm, neoplastic,C71.9,C79.31,,D33.2,D43.2,D49.6
basal ganglia,2,brain NEC,C71.0,C79.31,,D33.0,D43.0,D49.6
cerebellopontine angle,2,brain NEC,C71.6,C79.31,,D33.1,D43.1,D49.6
cerebellum NOS,2,brain NEC,C71.6,C79.31,,D33.1,D43.1,D49.6
cerebrum,2,brain NEC,C71.0,C79.31,,D33.0,D43.0,D49.6
choroid plexus,2,brain NEC,C71.7,C79.31,,D33.1,D43.1,D49.6
corpus callosum,2,brain NEC,C71.8,C79.31,,D33.2,D43.2,D49.6
corpus striatum,2,brain NEC,C71.0,C79.31,,D33.0,D43.0,D49.6
cortex(cerebral),2,brain NEC,C71.0,C79.31,,D33.0,D43.0,D49.6
frontal lobe,2,brain NEC,C71.1,C79.31,,D33.0,D43.0,D49.6
globus pallidus,2,brain NEC,C71.0,C79.31,,D33.0,D43.0,D49.6
hippocampus,2,brain NEC,C71.2,C79.31,,D33.0,D43.0,D49.6
hypothalamus,2,brain NEC,C71.0,C79.31,,D33.0,D43.0,D49.6
internal capsule,2,brain NEC,C71.0,C79.31,,D33.0,D43.0,D49.6
medulla oblongata,2,brain NEC,C71.7,C79.31,,D33.1,D43.1,D49.6
meninges,2,brain NEC,C70.0,C79.32,,D32.0,D42.0,D49.7
midbrain,2,brain NEC,C71.7,C79.31,,D33.1,D43.1,D49.6
occipital lobe,2,brain NEC,C71.4,C79.31,,D33.0,D43.0,D49.6
overlapping lesion,2,brain NEC,C71.8,C79.31,,,,
parietal lobe,2,brain NEC,C71.3,C79.31,,D33.0,D43.0,D49.6
peduncle,2,brain NEC,C71.7,C79.31,,D33.1,D43.1,D49.6
pons,2,brain NEC,C71.7,C79.31,,D33.1,D43.1,D49.6
stem,2,brain NEC,C71.7,C79.31,,D33.1,D43.1,D49.6
tapetum,2,brain NEC,C71.8,C79.31,,D33.2,D43.2,D49.6
temporal lobe,2,brain NEC,C71.2,C79.31,,D33.0,D43.0,D49.6
thalamus,2,brain NEC,C71.0,C79.31,,D33.0,D43.0,D49.6
uncus,2,brain NEC,C71.2,C79.31,,D33.0,D43.0,D49.6
ventricle(floor),2,brain NEC,C71.5,C79.31,,D33.0,D43.0,D49.6
fourth,3,ventricle(floor),C71.7,C79.31,,D33.1,D43.1,D49.6
branchial(cleft) (cyst) (vestiges),1,Neoplasm, neoplastic,C10.4,C79.89,D00.08,D10.5,D37.05,D49.0
breast(connective tissue) (glandular tissue) (soft parts),1,Neoplasm, neoplastic,C50.9-,C79.81,D05.-,D24.-,D48.6-,D49.3
areola,2,breast(connective tissue) (glandular tissue) (soft parts),C50.0-,C79.81,D05.-,D24.-,D48.6-,D49.3
axillary tail,2,breast(connective tissue) (glandular tissue) (soft parts),C50.6-,C79.81,D05.-,D24.-,D48.6-,D49.3
central portion,2,breast(connective tissue) (glandular tissue) (soft parts),C50.1-,C79.81,D05.-,D24.-,D48.6-,D49.3
inner,2,breast(connective tissue) (glandular tissue) (soft parts),C50.8-,C79.81,D05.-,D24.-,D48.6-,D49.3
lower,2,breast(connective tissue) (glandular tissue) (soft parts),C50.8-,C79.81,D05.-,D24.-,D48.6-,D49.3
lower-inner quadrant,2,breast(connective tissue) (glandular tissue) (soft parts),C50.3-,C79.81,D05.-,D24.-,D48.6-,D49.3
lower-outer quadrant,2,breast(connective tissue) (glandular tissue) (soft parts),C50.5-,C79.81,D05.-,D24.-,D48.6-,D49.3
mastectomy site(skin),2,breast(connective tissue) (glandular tissue) (soft parts),C44.501,C79.2,,,,
specified as breast tissue,3,mastectomy site(skin),C50.8-,C79.81,,,,
midline,2,breast(connective tissue) (glandular tissue) (soft parts),C50.8-,C79.81,D05.-,D24.-,D48.6-,D49.3
nipple,2,breast(connective tissue) (glandular tissue) (soft parts),C50.0-,C79.81,D05.-,D24.-,D48.6-,D49.3
outer,2,breast(connective tissue) (glandular tissue) (soft parts),C50.8-,C79.81,D05.-,D24.-,D48.6-,D49.3
overlapping lesion,2,breast(connective tissue) (glandular tissue) (soft parts),C50.8-,,,,,
skin,2,breast(connective tissue) (glandular tissue) (soft parts),C44.501,C79.2,D04.5,D23.5,D48.5,D49.2
basal cell carcinoma,3,skin,C44.511,,,,,
specified type NEC,3,skin,C44.591,,,,,
squamous cell carcinoma,3,skin,C44.521,,,,,
tail(axillary),2,breast(connective tissue) (glandular tissue) (soft parts),C50.6-,C79.81,D05.-,D24.-,D48.6-,D49.3
upper,2,breast(connective tissue) (glandular tissue) (soft parts),C50.8-,C79.81,D05.-,D24.-,D48.6-,D49.3
upper-inner quadrant,2,breast(connective tissue) (glandular tissue) (soft parts),C50.2-,C79.81,D05.-,D24.-,D48.6-,D49.3
upper-outer quadrant,2,breast(connective tissue) (glandular tissue) (soft parts),C50.4-,C79.81,D05.-,D24.-,D48.6-,D49.3
broad ligament,1,Neoplasm, neoplastic,C57.1,C79.82,D07.39,D28.2,D39.8,D49.59
"bronchiogenic, bronchogenic(lung)",1,Neoplasm, neoplastic,C34.9-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
bronchiole,1,Neoplasm, neoplastic,C34.9-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
bronchus,1,Neoplasm, neoplastic,C34.9-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
carina,2,bronchus,C34.0-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
lower lobe of lung,2,bronchus,C34.3-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
main,2,bronchus,C34.0-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
middle lobe of lung,2,bronchus,C34.2,C78.0-,D02.21,D14.31,D38.1,D49.1
overlapping lesion,2,bronchus,C34.8-,,,,,
upper lobe of lung,2,bronchus,C34.1-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
brow,1,Neoplasm, neoplastic,C44.309,C79.2,D04.39,D23.39,D48.5,D49.2
basal cell carcinoma,2,brow,C44.319,,,,,
specified type NEC,2,brow,C44.399,,,,,
squamous cell carcinoma,2,brow,C44.329,,,,,
buccal(cavity),1,Neoplasm, neoplastic,C06.9,C79.89,D00.00,D10.39,D37.09,D49.0
commissure,2,buccal(cavity),C06.0,C79.89,D00.02,D10.39,D37.09,D49.0
groove(lower) (upper),2,buccal(cavity),C06.1,C79.89,D00.02,D10.39,D37.09,D49.0
mucosa,2,buccal(cavity),C06.0,C79.89,D00.02,D10.39,D37.09,D49.0
sulcus(lower) (upper),2,buccal(cavity),C06.1,C79.89,D00.02,D10.39,D37.09,D49.0
bulbourethral gland,1,Neoplasm, neoplastic,C68.0,C79.19,D09.19,D30.4,D41.3,D49.59
bursa,1,Neoplasm, neoplastic,,,,,,
buttock NEC,1,Neoplasm, neoplastic,C76.3,C79.89,D04.5,D36.7,D48.7,D49.89
calf,1,Neoplasm, neoplastic,C76.5-,C79.89,D04.7-,D36.7,D48.7,D49.89
calvarium,1,Neoplasm, neoplastic,C41.0,C79.51,,D16.4-,D48.0,D49.2
"calyx, renal",1,Neoplasm, neoplastic,C65.-,C79.0-,D09.19,D30.1-,D41.1-,D49.51-
canal,1,Neoplasm, neoplastic,,,,,,
anal,2,canal,C21.1,C78.5,D01.3,D12.9,D37.8,D49.0
auditory(external),2,canal,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
auricular(external),2,canal,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
"canaliculi, biliary(biliferi) (intrahepatic)",1,Neoplasm, neoplastic,C22.1,C78.7,D01.5,D13.4,D37.6,D49.0
canthus(eye) (inner) (outer),1,Neoplasm, neoplastic,C44.10-,C79.2,D04.1-,D23.1-,D48.5,D49.2
basal cell carcinoma,2,canthus(eye) (inner) (outer),C44.11-,,,,,
sebaceous cell,2,canthus(eye) (inner) (outer),C44.13-,,,,,
specified type NEC,2,canthus(eye) (inner) (outer),C44.19-,,,,,
squamous cell carcinoma,2,canthus(eye) (inner) (outer),C44.12-,,,,,
capillary,1,Neoplasm, neoplastic,,,,,,
caput coli,1,Neoplasm, neoplastic,C18.0,C78.5,D01.0,D12.0,D37.4,D49.0
carcinoid,1,Neoplasm, neoplastic,,,,,,
cardia(gastric),1,Neoplasm, neoplastic,C16.0,C78.89,D00.2,D13.1,D37.1,D49.0
cardiac orifice(stomach),1,Neoplasm, neoplastic,C16.0,C78.89,D00.2,D13.1,D37.1,D49.0
cardio-esophageal junction,1,Neoplasm, neoplastic,C16.0,C78.89,D00.2,D13.1,D37.1,D49.0
cardio-esophagus,1,Neoplasm, neoplastic,C16.0,C78.89,D00.2,D13.1,D37.1,D49.0
carina(bronchus),1,Neoplasm, neoplastic,C34.0-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
carotid(artery),1,Neoplasm, neoplastic,C49.0,C79.89,,D21.0,D48.1,D49.2
body,2,carotid(artery),C75.4,C79.89,,D35.5,D44.6,D49.7
carpus(any bone),1,Neoplasm, neoplastic,C40.1-,C79.51,,D16.1-,,
cartilage(articular) (joint) NEC,1,Neoplasm, neoplastic,C41.9,C79.51,,D16.9-,D48.0,D49.2
arytenoid,2,cartilage(articular) (joint) NEC,C32.3,C78.39,D02.0,D14.1,D38.0,D49.1
auricular,2,cartilage(articular) (joint) NEC,C49.0,C79.89,,D21.0,D48.1,D49.2
