histology,behavior,preferred,description
8041,3,0,"Carcinoma, neuroendocrine, poorly differentiated [OF BREAST] (C50._) [2018+]"
8041,3,0,"Carcinoma, reserve cell"
8041,3,0,"Carcinoma, round cell"
8041,3,0,"Carcinoma, small cell, neuroendocrine"
8041,3,0,"Carcinoma, small cell, NOS"
8041,3,0,"Carcinoma, small cell, pulmonary type (C56.9) [2018+]"
8041,3,0,"High-grade neuroendocrine carcinoma (C54._, C55.9) [2018+]"
8041,3,0,"Neuroendocrine carcinoma, high grade  (C54._, C55.9) [2018+]"
8041,3,0,"Neuroendocrine carcinoma, poorly differentiated [OF BREAST] (C50._) [2018+]"
8041,3,0,"Neuroendocrine carcinoma, small cell"
8041,3,0,Reserve cell carcinoma
8041,3,0,Round cell carcinoma
8041,3,0,Small cell carcinoma pulmonary type (C56.9) [2018+]
8041,3,0,"Small cell carcinoma, neuroendocrine"
8041,3,0,Small cell neuroendocrine carcinoma
8042,3,1,Oat cell carcinoma (C34._)
8042,3,0,"Carcinoma, oat cell (C34._)"
8043,3,1,"Small cell carcinoma, fusiform cell"
8043,3,0,"Carcinoma, small cell, fusiform cell"
8043,3,0,"Fusiform cell, small cell carcinoma"
8044,3,1,"Small cell carcinoma, intermediate cell"
8044,3,0,"Carcinoma, small cell, hypercalcemic type (C56.9) [2018+]"
8044,3,0,"Carcinoma, small cell, intermediate cell"
8044,3,0,"Carcinoma, small cell, large cell variant (C56.9) [2022+]"
8044,3,0,"Intermediate cell, small cell carcinoma"
8044,3,0,"Large cell variant, small cell carcinoma (C56.9) [2022+]"
8044,3,0,"Small cell carcinoma, hypercalcemic type (C56.9) [2018+]"
8044,3,0,"Small cell carcinoma, large cell variant (C56.9) [2022+]"
8045,3,1,Combined small cell carcinoma
8045,3,0,"Adenocarcinoma, combined small cell-adenocarcinoma"
8045,3,0,"Carcinoma, combined small cell"
8045,3,0,"Carcinoma, combined small cell-large cell"
8045,3,0,"Carcinoma, combined small cell-squamous cell"
8045,3,0,"Carcinoma, large cell-small cell, combined"
8045,3,0,"Carcinoma, mixed small cell"
8045,3,0,"Carcinoma, small cell-large cell, combined"
8045,3,0,Combined small cell-adenocarcinoma
8045,3,0,Combined small cell-large cell carcinoma
8045,3,0,Combined small cell-squamous cell carcinoma
8045,3,0,"Large cell-small cell carcinoma, combined"
8045,3,0,Mixed small cell carcinoma
8045,3,0,"Small cell carcinoma, combined"
8045,3,0,"Small cell carcinoma, mixed"
8045,3,0,"Small cell-adenocarcinoma, combined"
8045,3,0,"Small cell-large cell carcinoma, combined"
8045,3,0,"Small cell-squamous cell carcinoma, combined"
8045,3,0,"Squamous cell-small cell carcinoma, combined"
8046,3,1,Non-small cell carcinoma (C34._)
8046,3,0,"Carcinoma, non-small cell (C34._)"
8050,0,1,"Papilloma, NOS (except papilloma of bladder M-8120/1)"
8050,2,1,Papillary carcinoma in situ
8050,2,0,"Carcinoma in situ, papillary"
8050,2,0,"Carcinoma, papillary, in situ"
8050,2,0,"In situ carcinoma, papillary"
8050,2,0,In situ papillary carcinoma
8050,3,1,"Papillary carcinoma, NOS"
8050,3,0,"Carcinoma, papillary, NOS"
8051,0,1,Verrucous papilloma
8051,0,0,"Papilloma, verrucous"
8051,3,1,"Warty carcinoma [2018+ CASES FOR C60._, USE 8054/3. ALL OTHER SITES USE 8051/3 FOR ALL YEARS]"
8051,3,0,"Carcinoma, condylomatous [2018+ CASES FOR C60._, USE 8054/3. ALL OTHER SITES USE 8051/3 FOR ALL YEARS]"
8051,3,0,"Carcinoma, epidermoid, verrucous"
8051,3,0,"Carcinoma, squamous cell, verrucous"
8051,3,0,"Carcinoma, verrucous, epidermoid"
8051,3,0,"Carcinoma, verrucous, NOS"
8051,3,0,"Carcinoma, verrucous, squamous cell"
8051,3,0,"Carcinoma, warty [2018+ CASES FOR C60._, USE 8054/3. ALL OTHER SITES USE 8051/3 FOR ALL YEARS]"
8051,3,0,"Condylomatous carcinoma [2018+ CASES FOR C60._, USE 8054/3. ALL OTHER SITES USE 8051/3 FOR ALL YEARS]"
8051,3,0,"Epidermoid carcinoma, verrucous"
8051,3,0,"Squamous cell carcinoma, verrucous"
8051,3,0,"Verrucous carcinoma, epidermoid"
8051,3,0,"Verrucous carcinoma, NOS"
8051,3,0,"Verrucous carcinoma, squamous cell"
8051,3,0,Verrucous epidermoid carcinoma
8051,3,0,Verrucous squamous cell carcinoma
8052,0,1,"Squamous cell papilloma, NOS"
8052,0,0,Keratotic papilloma
8052,0,0,"Papilloma, keratotic"
8052,0,0,"Papilloma, squamous"
8052,0,0,"Papilloma, squamous cell, NOS"
8052,0,0,Squamous papilloma
8052,2,1,"Papillary squamous cell carcinoma, non-invasive"
8052,2,0,"Carcinoma, papillary squamous cell, in situ"
8052,2,0,"Carcinoma, papillary squamous cell, non-invasive"
8052,2,0,"Carcinoma, squamous cell papillary, non-invasive"
8052,2,0,In situ papillary squamous cell carcinoma
8052,2,0,"In situ squamous cell carcinoma, papillary"
8052,2,0,"Non-invasive carcinoma, papillary squamous cell"
8052,2,0,"Papillary carcinoma in situ, squamous cell"
8052,2,0,"Papillary carcinoma, squamous cell, non-invasive"
8052,2,0,Papillary squamous cell carcinoma in situ
8052,2,0,"Squamous cell carcinoma, papillary, in situ"
8052,2,0,"Squamous cell carcinoma, papillary, non-invasive"
8052,3,1,Papillary squamous cell carcinoma
8052,3,0,"Carcinoma, epidermoid, papillary"
8052,3,0,"Carcinoma, papillary epidermoid"
8052,3,0,"Carcinoma, papillary squamous cell"
8052,3,0,"Carcinoma, papillary, epidermoid"
8052,3,0,"Carcinoma, squamous cell, papillary"
8052,3,0,"Epidermoid carcinoma, papillary"
8052,3,0,"Papillary carcinoma, epidermoid"
8052,3,0,"Papillary carcinoma, squamous cell"
8052,3,0,Papillary epidermoid carcinoma
8052,3,0,"Squamous cell carcinoma, papillary"
8053,0,1,"Squamous cell papilloma, inverted"
8053,0,0,"Inverted papilloma, squamous cell"
8053,0,0,"Papilloma, inverted squamous cell"
8053,0,0,"Papilloma, squamous cell, inverted"
8054,3,1,"Warty carcinoma (C60.0-C60.2, C60.9) [2018+. PRE-2018 CASES FOR C60, USE 8051/3.  ALL OTHER SITES USE 8051/3 FOR ALL YEARS]"
8054,3,0,"Carcinoma, condylomatous (C60.0-C60.2, C60.9) [2018+. PRE-2018 CASES FOR C60, USE 8051/3. ALL OTHER SITES USE 8051/3 FOR ALL YEARS]"
8054,3,0,"Carcinoma, warty (C60.0-C60.2, C60.9) [2018+. PRE-2018 CASES FOR C60, USE 8051/3.  ALL OTHER SITES USE 8051/3 FOR ALL YEARS]"
8054,3,0,"Carcinoma, warty-basaloid [2021+]"
8054,3,0,"Condylomatous carcinoma (C60.0-C60.2, C60.9) [2018+. PRE-2018 CASES FOR C60, USE 8051/3. ALL OTHER SITES USE 8051/3 FOR ALL YEARS]"
8054,3,0,Warty-basaloid carcinoma [2021+]
8060,0,1,Squamous papillomatosis
8060,0,0,"Papillomatosis, NOS"
8060,0,0,"Papillomatosis, squamous"
8070,2,1,"Squamous cell carcinoma in situ, NOS"
8070,2,0,"Carcinoma in situ, epidermoid, NOS"
8070,2,0,"Carcinoma in situ, squamous cell, NOS"
8070,2,0,"Carcinoma, epidermoid, in situ, NOS"
8070,2,0,"Carcinoma, intraepidermal, NOS"
8070,2,0,"Carcinoma, intraepithelial, squamous cell"
8070,2,0,"Carcinoma, squamous cell, in situ, NOS"
8070,2,0,"Carcinoma, squamous cell, intraepithelial"
8070,2,0,"Epidermoid carcinoma in situ, NOS"
8070,2,0,"In situ carcinoma, epidermoid, NOS"
8070,2,0,"In situ carcinoma, squamous cell, NOS"
8070,2,0,"In situ epidermoid carcinoma, NOS"
8070,2,0,"In situ squamous cell carcinoma, NOS"
8070,2,0,"Intraepidermal carcinoma, NOS"
8070,2,0,Intraepithelial squamous cell carcinoma
8070,2,0,"Squamous cell carcinoma, intraepithelial"
8070,3,1,"Squamous cell carcinoma, NOS"
8070,3,0,"Carcinoma, epidermoid, NOS"
8070,3,0,"Carcinoma, squamous"
8070,3,0,"Carcinoma, squamous cell, NOS"
8070,3,0,"Epidermoid carcinoma, NOS"
8070,3,0,"Epithelioma, squamous cell"
8070,3,0,Squamous carcinoma
8070,3,0,Squamous cell epithelioma
8070,6,1,"Squamous cell carcinoma, metastatic, NOS"
8070,6,0,"Carcinoma, squamous cell, metastatic, NOS"
8070,6,0,"Carcinoma, squamous cell, NOS, metastatic"
8070,6,0,"Metastatic squamous cell carcinoma, NOS"
8071,2,1,Differentiated penile [or vulvar] intraepithelial neoplasia (C60._  [or C51._]) [2018+ CASES ONLY]
8071,2,0,Differentiated penile intraepithelial neoplasia (C60._) [2018+ CASES ONLY]
8071,2,0,Differentiated-type vulvar intraepithelial neoplasia (C51._) [2018+ CASES ONLY]
8071,2,0,"Intraepithelial neoplasia, penile differentiated (C60._) [2018+ CASES ONLY]"
8071,2,0,"Intraepithelial neoplasia, vulvar differentiated-type (C51._) [2018+ CASES ONLY]"
8071,3,1,"Squamous cell carcinoma, keratinizing, NOS"
8071,3,0,"Carcinoma, epidermoid, keratinizing"
8071,3,0,"Carcinoma, large cell, squamous cell, keratinizing"
8071,3,0,"Carcinoma, squamous cell, keratinizing, NOS"
8071,3,0,"Carcinoma, squamous cell, large cell, keratinizing"
8071,3,0,"Epidermoid carcinoma, keratinizing"
8071,3,0,Keratinizing epidermoid carcinoma
8071,3,0,"Keratinizing squamous cell carcinoma, large cell"
8071,3,0,"Keratinizing squamous cell carcinoma, NOS"
8071,3,0,Keratoacanthoma [2021+]
8071,3,0,"Large cell carcinoma, squamous cell, keratinizing"
8071,3,0,"Squamous cell carcinoma, large cell, keratinizing"
8072,3,1,"Squamous cell carcinoma, large cell, nonkeratinizing, NOS"
8072,3,0,"Carcinoma, epidermoid, large cell, nonkeratinizing"
8072,3,0,"Carcinoma, large cell epidermoid, nonkeratinizing"
8072,3,0,"Carcinoma, large cell, squamous cell, nonkeratinizing, NOS"
8072,3,0,"Carcinoma, squamous cell, large cell, nonkeratinizing, NOS"
8072,3,0,"Carcinoma, squamous cell, nonkeratinizing, NOS"
8072,3,0,"Epidermoid carcinoma, large cell, nonkeratinizing"
8072,3,0,"Large cell carcinoma, epidermoid, nonkeratinizing"
8072,3,0,"Large cell carcinoma, squamous cell, nonkeratinizing, NOS"
8072,3,0,"Nonkeratinizing epidermoid carcinoma, large cell"
8072,3,0,"Nonkeratinizing squamous cell carcinoma, large cell, NOS"
8072,3,0,"Nonkeratinizing squamous cell carcinoma, NOS"
8072,3,0,"Squamous cell carcinoma, nonkeratinizing, NOS"
8073,3,1,"Squamous cell carcinoma, small cell, nonkeratinizing"
8073,3,0,"Carcinoma, epidermoid, small cell, nonkeratinizing"
8073,3,0,"Carcinoma, small cell, squamous cell, nonkeratinizing"
8073,3,0,"Carcinoma, squamous cell, small cell, nonkeratinizing"
8073,3,0,"Epidermoid carcinoma, small cell, nonkeratinizing"
8073,3,0,"Nonkeratinizing epidermoid carcinoma, small cell"
8073,3,0,"Nonkeratinizing squamous cell carcinoma, small cell"
8073,3,0,"Small cell carcinoma, epidermoid, nonkeratinizing"
8073,3,0,"Small cell carcinoma, squamous cell, nonkeratinizing"
8074,3,1,"Squamous cell carcinoma, spindle cell"
8074,3,0,"Carcinoma, epidermoid, spindle cell"
8074,3,0,"Carcinoma, squamous cell, pseudovascular [2021+]"
8074,3,0,"Carcinoma, squamous cell, sarcomatoid"
8074,3,0,"Carcinoma, squamous cell, spindle cell"
8074,3,0,"Epidermoid carcinoma, spindle cell"
8074,3,0,Pseudovascular squamous cell carcinoma [2021+]
8074,3,0,"Sarcomatoid carcinoma, squamous cell"
8074,3,0,Sarcomatoid squamous cell carcinoma
8074,3,0,Spindle cell epidermoid carcinoma
8074,3,0,Spindle cell squamous cell carcinoma
8074,3,0,"Squamous cell carcinoma, pseudovascular [2021+]"
8074,3,0,"Squamous cell carcinoma, sarcomatoid"
8075,3,1,"Squamous cell carcinoma, adenoid"
8075,3,0,Acantholytic squamous cell carcinoma
8075,3,0,Adenoid squamous cell carcinoma
8075,3,0,"Carcinoma, acantholytic squamous cell"
8075,3,0,"Carcinoma, adenoid squamous cell"
8075,3,0,"Carcinoma, pseudoglandular, squamous cell"
8075,3,0,"Carcinoma, squamous cell, acantholytic"
8075,3,0,"Carcinoma, squamous cell, adenoid"
8075,3,0,"Carcinoma, squamous cell, pseudoglandular"
8075,3,0,Pseudoglandular squamous cell carcinoma
8075,3,0,"Squamous cell carcinoma, acantholytic"
8075,3,0,"Squamous cell carcinoma, pseudoglandular"
8076,2,1,Squamous cell carcinoma in situ with questionable stromal invasion
8076,2,0,"Carcinoma in situ, epidermoid with questionable stromal invasion"
8076,2,0,"Carcinoma in situ, squamous cell with questionable stromal invasion"
8076,2,0,"Carcinoma, epidermoid in situ with questionable stromal invasion"
8076,2,0,"Carcinoma, squamous cell, in situ, with questionable stromal invasion"
8076,2,0,Epidermoid carcinoma in situ with questionable stromal invasion
8076,2,0,"In situ carcinoma, epidermoid with questionable stromal invasion"
8076,2,0,"In situ carcinoma, squamous cell with questionable stromal invasion"
8076,2,0,In situ epidermoid carcinoma with questionable stromal invasion
8076,2,0,In situ squamous cell carcinoma with questionable stromal invasion
8076,2,0,"Questionable stromal invasion, epidermoid carcinoma in situ with"
8076,2,0,"Questionable stromal invasion, squamous cell carcinoma in situ with"
8076,3,1,"Squamous cell carcinoma, microinvasive"
8076,3,0,"Carcinoma, microinvasive squamous cell"
8076,3,0,"Carcinoma, squamous cell, microinvasive"
8076,3,0,Microinvasive squamous cell carcinoma
8077,2,1,"Squamous intraepithelial neoplasia, grade III [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,AIN III (C21.1) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]
8077,2,0,"Anal intraepithelial neoplasia, grade III (C21.1) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,"Cervical intraepithelial neoplasia, grade III (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,CIN III with severe dysplasia (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]
8077,2,0,"CIN III, NOS (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,"Dysplasia, CIN III with severe (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,"Dysplasia, squamous, high grade [REPORTABLE 2021+, EXCLUDING C53._; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,Grade III anal intraepithelial neoplasia (C21.1) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]
8077,2,0,Grade III cervical intraepithelial neoplasia (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]
8077,2,0,Grade III squamous intraepithelial neoplasia [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]
8077,2,0,Grade III vaginal intraepithelial neoplasia (C52._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]
8077,2,0,Grade III vulvar intraepithelial neoplasia (C51._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]
8077,2,0,"High grade squamous dysplasia [REPORTABLE 2021+, EXCLUDING C53._; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,"High grade squamous intraepithelial lesion [REPORTABLE 2021+, EXCLUDING C53._; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,"Intraepithelial neoplasia, grade II, squamous [REPORTABLE 2021+, EXCLUDING C53._; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,"Intraepithelial neoplasia, grade III, anal (C21.1) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,"Intraepithelial neoplasia, grade III, cervical (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,"Intraepithelial neoplasia, grade III, squamous [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,"Intraepithelial neoplasia, grade III, vaginal (C52._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,"Intraepithelial neoplasia, grade III, vulvar (C51._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,"Neoplasia, anal intraepithelial, grade III (C21.1) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,"Neoplasia, cervical intraepithelial, grade III (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,"Neoplasia, squamous intraepithelial, grade II [REPORTABLE 2021+, EXCLUDING C53._; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,"Neoplasia, squamous intraepithelial, grade III [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,"Neoplasia, vaginal intraepithelial, grade III (C52._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,"Neoplasia, vulvar intraepithelial, grade III (C51._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,"Severe dysplasia, CIN III with (C53._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,"Squamous dysplasia, high grade [REPORTABLE 2021+, EXCLUDING C53._; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,"Squamous intraepithelial lesion, high grade [REPORTABLE 2021+, EXCLUDING C53._; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,"Squamous intraepithelial neoplasia, grade II [REPORTABLE 2021+, EXCLUDING C53._; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,"Vaginal intraepithelial neoplasia, grade III (C52._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8077,2,0,VAIN III (C52._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]
8077,2,0,VIN III (C51._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]
8077,2,0,"Vulvar intraepithelial neoplasia, grade III (C51._) [SEE STANDARD SETTER REQUIREMENTS FOR REPORTABLE SITES]"
8078,3,1,Squamous cell carcinoma with horn formation
8078,3,0,"Carcinoma, squamous cell, with horn formation"
8078,3,0,"Horn formation, squamous cell carcinoma with"
8078,3,0,"Squamous cell carcinoma, with horn formation"
8080,2,1,Queyrat erythroplasia (C60._)
8080,2,0,"Erythroplasia, Queyrat (C60._)"
8081,2,1,Bowen disease (C44._)
8081,2,0,Bowen type intraepidermal squamous cell carcinoma (C44._)
8081,2,0,"Carcinoma, Bowen type, intraepidermal squamous cell (C44._)"
8081,2,0,"Carcinoma, intraepidermal, squamous cell, Bowen type (C44._)"
8081,2,0,"Carcinoma, squamous cell, intradermal, Bowen type (C44._)"
8081,2,0,"Disease, Bowen (C44._)"
8081,2,0,"Intraepidermal squamous cell carcinoma, Bowen type (C44._)"
8081,2,0,"Squamous cell carcinoma, Bowen type, intraepidermal (C44._)"
8081,2,0,"Squamous cell carcinoma, intraepidermal, Bowen type (C44._)"
8082,3,1,Lymphoepithelial carcinoma
8082,3,0,"Carcinoma, lymphoepithelial"
8082,3,0,"Carcinoma, lymphoepithelioma-like"
8082,3,0,Lymphoepithelioma
8082,3,0,Lymphoepithelioma-like carcinoma
8082,3,0,Schmincke tumor (C11._)
8082,3,0,"Tumor, Schmincke (C11._)"
8083,3,1,Basaloid squamous cell carcinoma
8083,3,0,"Carcinoma, basaloid squamous cell"
8083,3,0,"Carcinoma, papillary-basaloid [2021+]"
8083,3,0,"Carcinoma, squamous cell, basaloid"
8083,3,0,Papillary-basaloid carcinoma [2021+]
8083,3,0,"Squamous cell carcinoma, basaloid"
8084,3,1,"Squamous cell carcinoma, clear cell type"
8084,3,0,"Carcinoma, squamous cell, clear cell type"
8084,3,0,Clear cell type squamous cell carcinoma
