Substance,Level,Parent,Poisoning Accidental (unintentional),Poisoning Intentional self-harm,Poisoning Assault,Poisoning Undetermined,Adverse effect,Underdosing
ester(solvent)(vapor),2,acid,T52.8X1,T52.8X2,T52.8X3,T52.8X4,,
irrigating solution,2,acid,T50.3X1,T50.3X2,T50.3X3,T50.3X4,T50.3X5,T50.3X6
medicinal(lotion),2,acid,T49.2X1,T49.2X2,T49.2X3,T49.2X4,T49.2X5,T49.2X6
anhydride,1,Acetic,T65.891,T65.892,T65.893,T65.894,,
ether(vapor),1,Acetic,T52.8X1,T52.8X2,T52.8X3,T52.8X4,,
Acetohexamide,0,,T38.3X1,T38.3X2,T38.3X3,T38.3X4,T38.3X5,T38.3X6
Acetohydroxamic acid,0,,T50.991,T50.992,T50.993,T50.994,T50.995,T50.996
Acetomenaphthone,0,,T45.7X1,T45.7X2,T45.7X3,T45.7X4,T45.7X5,T45.7X6
Acetomorphine,0,,T40.1X1,T40.1X2,T40.1X3,T40.1X4,,
Acetone(oils),0,,T52.4X1,T52.4X2,T52.4X3,T52.4X4,,
chlorinated,1,Acetone(oils),T52.4X1,T52.4X2,T52.4X3,T52.4X4,,
vapor,1,Acetone(oils),T52.4X1,T52.4X2,T52.4X3,T52.4X4,,
Acetonitrile,0,,T52.8X1,T52.8X2,T52.8X3,T52.8X4,,
Acetophenazine,0,,T43.3X1,T43.3X2,T43.3X3,T43.3X4,T43.3X5,T43.3X6
Acetophenetedin,0,,T39.1X1,T39.1X2,T39.1X3,T39.1X4,T39.1X5,T39.1X6
Acetophenone,0,,T52.4X1,T52.4X2,T52.4X3,T52.4X4,,
Acetorphine,0,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,,
Acetosulfone(sodium),0,,T37.1X1,T37.1X2,T37.1X3,T37.1X4,T37.1X5,T37.1X6
Acetrizoate(sodium),0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Acetrizoic acid,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Acetyl,0,,,,,,,
bromide,1,Acetyl,T53.6X1,T53.6X2,T53.6X3,T53.6X4,,
chloride,1,Acetyl,T53.6X1,T53.6X2,T53.6X3,T53.6X4,,
Acetylcarbromal,0,,T42.6X1,T42.6X2,T42.6X3,T42.6X4,T42.6X5,T42.6X6
Acetylcholine,0,,,,,,,
chloride,1,Acetylcholine,T44.1X1,T44.1X2,T44.1X3,T44.1X4,T44.1X5,T44.1X6
derivative,1,Acetylcholine,T44.1X1,T44.1X2,T44.1X3,T44.1X4,T44.1X5,T44.1X6
Acetylcysteine,0,,T48.4X1,T48.4X2,T48.4X3,T48.4X4,T48.4X5,T48.4X6
Acetyldigitoxin,0,,T46.0X1,T46.0X2,T46.0X3,T46.0X4,T46.0X5,T46.0X6
Acetyldigoxin,0,,T46.0X1,T46.0X2,T46.0X3,T46.0X4,T46.0X5,T46.0X6
Acetyldihydrocodeine,0,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,,
Acetyldihydrocodeinone,0,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,,
Acetylene(gas),0,,T59.891,T59.892,T59.893,T59.894,,
dichloride,1,Acetylene(gas),T53.6X1,T53.6X2,T53.6X3,T53.6X4,,
incomplete combustion of,1,Acetylene(gas),T58.11,T58.12,T58.13,T58.14,,
industrial,1,Acetylene(gas),T59.891,T59.892,T59.893,T59.894,,
tetrachloride,1,Acetylene(gas),T53.6X1,T53.6X2,T53.6X3,T53.6X4,,
vapor,2,tetrachloride,T53.6X1,T53.6X2,T53.6X3,T53.6X4,,
Acetylpheneturide,0,,T42.6X1,T42.6X2,T42.6X3,T42.6X4,T42.6X5,T42.6X6
Acetylphenylhydrazine,0,,T39.8X1,T39.8X2,T39.8X3,T39.8X4,T39.8X5,T39.8X6
Acetylsalicylic acid(salts),0,,T39.011,T39.012,T39.013,T39.014,T39.015,T39.016
enteric coated,1,Acetylsalicylic acid(salts),T39.011,T39.012,T39.013,T39.014,T39.015,T39.016
Acetylsulfamethoxypyridazine,0,,T37.0X1,T37.0X2,T37.0X3,T37.0X4,T37.0X5,T37.0X6
Achromycin,0,,T36.4X1,T36.4X2,T36.4X3,T36.4X4,T36.4X5,T36.4X6
ophthalmic preparation,1,Achromycin,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
topical NEC,1,Achromycin,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Aciclovir,0,,T37.5X1,T37.5X2,T37.5X3,T37.5X4,T37.5X5,T37.5X6
Acid(corrosive) NEC,0,,T54.2X1,T54.2X2,T54.2X3,T54.2X4,,
Acidifying agent NEC,0,,T50.901,T50.902,T50.903,T50.904,T50.905,T50.906
Acipimox,0,,T46.6X1,T46.6X2,T46.6X3,T46.6X4,T46.6X5,T46.6X6
Acitretin,0,,T50.991,T50.992,T50.993,T50.994,T50.995,T50.996
Aclarubicin,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Aclatonium napadisilate,0,,T48.1X1,T48.1X2,T48.1X3,T48.1X4,T48.1X5,T48.1X6
Aconite(wild),0,,T46.991,T46.992,T46.993,T46.994,T46.995,T46.996
Aconitine,0,,T46.991,T46.992,T46.993,T46.994,T46.995,T46.996
Aconitum ferox,0,,T46.991,T46.992,T46.993,T46.994,T46.995,T46.996
Acridine,0,,T65.6X1,T65.6X2,T65.6X3,T65.6X4,,
vapor,1,Acridine,T59.891,T59.892,T59.893,T59.894,,
Acriflavine,0,,T37.91,T37.92,T37.93,T37.94,T37.95,T37.96
Acriflavinium chloride,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Acrinol,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Acrisorcin,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Acrivastine,0,,T45.0X1,T45.0X2,T45.0X3,T45.0X4,T45.0X5,T45.0X6
Acrolein(gas),0,,T59.891,T59.892,T59.893,T59.894,,
liquid,1,Acrolein(gas),T54.1X1,T54.1X2,T54.1X3,T54.1X4,,
Acrylamide,0,,T65.891,T65.892,T65.893,T65.894,,
Acrylic resin,0,,T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
Acrylonitrile,0,,T65.891,T65.892,T65.893,T65.894,,
Actaea spicata,0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
berry,1,Actaea spicata,T62.1X1,T62.1X2,T62.1X3,T62.1X4,,
Acterol,0,,T37.3X1,T37.3X2,T37.3X3,T37.3X4,T37.3X5,T37.3X6
ACTH,0,,T38.811,T38.812,T38.813,T38.814,T38.815,T38.816
Actinomycin C,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Actinomycin D,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Activated charcoal,0,,T47.6X1,T47.6X2,T47.6X3,T47.6X4,T47.6X5,T47.6X6
Acyclovir,0,,T37.5X1,T37.5X2,T37.5X3,T37.5X4,T37.5X5,T37.5X6
Adenine,0,,T45.2X1,T45.2X2,T45.2X3,T45.2X4,T45.2X5,T45.2X6
arabinoside,1,Adenine,T37.5X1,T37.5X2,T37.5X3,T37.5X4,T37.5X5,T37.5X6
Adenosine(phosphate),0,,T46.2X1,T46.2X2,T46.2X3,T46.2X4,T46.2X5,T46.2X6
ADH,0,,T38.891,T38.892,T38.893,T38.894,T38.895,T38.896
Adhesive NEC,0,,T65.891,T65.892,T65.893,T65.894,,
Adicillin,0,,T36.0X1,T36.0X2,T36.0X3,T36.0X4,T36.0X5,T36.0X6
Adiphenine,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Adipiodone,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
"Adjunct, pharmaceutical",0,,T50.901,T50.902,T50.903,T50.904,T50.905,T50.906
"Adrenal(extract, cortex or medulla)(glucocorticoids)(hormones)(mineralocorticoids)",0,,T38.0X1,T38.0X2,T38.0X3,T38.0X4,T38.0X5,T38.0X6
ENT agent,1,Adrenal(extract, cortex or medulla)(glucocorticoids)(hormones)(mineralocorticoids),T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
ophthalmic preparation,1,Adrenal(extract, cortex or medulla)(glucocorticoids)(hormones)(mineralocorticoids),T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
topical NEC,1,Adrenal(extract, cortex or medulla)(glucocorticoids)(hormones)(mineralocorticoids),T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Adrenaline,0,,T44.5X1,T44.5X2,T44.5X3,T44.5X4,T44.5X5,T44.5X6
Adrenalin,0,,,,,,,
Adrenergic NEC,0,,T44.901,T44.902,T44.903,T44.904,T44.905,T44.906
blocking agent NEC,1,Adrenergic NEC,T44.8X1,T44.8X2,T44.8X3,T44.8X4,T44.8X5,T44.8X6
"beta, heart",2,blocking agent NEC,T44.7X1,T44.7X2,T44.7X3,T44.7X4,T44.7X5,T44.7X6
specified NEC,1,Adrenergic NEC,T44.991,T44.992,T44.993,T44.994,T44.995,T44.996
Adrenochrome,0,,,,,,,
(mono) semicarbazone,1,Adrenochrome,T46.991,T46.992,T46.993,T46.994,T46.995,T46.996
derivative,1,Adrenochrome,T46.991,T46.992,T46.993,T46.994,T46.995,T46.996
Adrenocorticotrophic hormone,0,,T38.811,T38.812,T38.813,T38.814,T38.815,T38.816
Adrenocorticotrophin,0,,T38.811,T38.812,T38.813,T38.814,T38.815,T38.816
Adriamycin,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Aerosol spray NEC,0,,T65.91,T65.92,T65.93,T65.94,,
Aerosporin,0,,T36.8X1,T36.8X2,T36.8X3,T36.8X4,T36.8X5,T36.8X6
ENT agent,1,Aerosporin,T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
ophthalmic preparation,1,Aerosporin,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
topical NEC,1,Aerosporin,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Aethusa cynapium,0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Afghanistan black,0,,T40.711,T40.712,T40.713,T40.714,T40.715,T40.716
Aflatoxin,0,,T64.01,T64.02,T64.03,T64.04,,
Afloqualone,0,,T42.8X1,T42.8X2,T42.8X3,T42.8X4,T42.8X5,T42.8X6
African boxwood,0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Agar,0,,T47.4X1,T47.4X2,T47.4X3,T47.4X4,T47.4X5,T47.4X6
Agonist,0,,,,,,,
predominantly,1,Agonist,,,,,,
alpha-adrenoreceptor,2,predominantly,T44.4X1,T44.4X2,T44.4X3,T44.4X4,T44.4X5,T44.4X6
beta-adrenoreceptor,2,predominantly,T44.5X1,T44.5X2,T44.5X3,T44.5X4,T44.5X5,T44.5X6
Agricultural agent NEC,0,,T65.91,T65.92,T65.93,T65.94,,
Agrypnal,0,,T42.3X1,T42.3X2,T42.3X3,T42.3X4,T42.3X5,T42.3X6
AHLG,0,,T50.Z11,T50.Z12,T50.Z13,T50.Z14,T50.Z15,T50.Z16
"Air contaminant(s), source/type NOS",0,,T65.91,T65.92,T65.93,T65.94,,
Ajmaline,0,,T46.2X1,T46.2X2,T46.2X3,T46.2X4,T46.2X5,T46.2X6
Akee,0,,T62.1X1,T62.1X2,T62.1X3,T62.1X4,,
Akrinol,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Akritoin,0,,T37.8X1,T37.8X2,T37.8X3,T37.8X4,T37.8X5,T37.8X6
Alacepril,0,,T46.4X1,T46.4X2,T46.4X3,T46.4X4,T46.4X5,T46.4X6
Alantolactone,0,,T37.4X1,T37.4X2,T37.4X3,T37.4X4,T37.4X5,T37.4X6
Albamycin,0,,T36.8X1,T36.8X2,T36.8X3,T36.8X4,T36.8X5,T36.8X6
Albendazole,0,,T37.4X1,T37.4X2,T37.4X3,T37.4X4,T37.4X5,T37.4X6
Albumin,0,,,,,,,
bovine,1,Albumin,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
human serum,1,Albumin,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
salt-poor,2,human serum,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
normal human serum,1,Albumin,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
Albuterol,0,,T48.6X1,T48.6X2,T48.6X3,T48.6X4,T48.6X5,T48.6X6
Albutoin,0,,T42.0X1,T42.0X2,T42.0X3,T42.0X4,T42.0X5,T42.0X6
Alclometasone,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Alcohol,0,,T51.91,T51.92,T51.93,T51.94,,
absolute,1,Alcohol,T51.0X1,T51.0X2,T51.0X3,T51.0X4,,
beverage,2,absolute,T51.0X1,T51.0X2,T51.0X3,T51.0X4,,
allyl,1,Alcohol,T51.8X1,T51.8X2,T51.8X3,T51.8X4,,
amyl,1,Alcohol,T51.3X1,T51.3X2,T51.3X3,T51.3X4,,
antifreeze,1,Alcohol,T51.1X1,T51.1X2,T51.1X3,T51.1X4,,
beverage,1,Alcohol,T51.0X1,T51.0X2,T51.0X3,T51.0X4,,
butyl,1,Alcohol,T51.3X1,T51.3X2,T51.3X3,T51.3X4,,
dehydrated,1,Alcohol,T51.0X1,T51.0X2,T51.0X3,T51.0X4,,
beverage,2,dehydrated,T51.0X1,T51.0X2,T51.0X3,T51.0X4,,
denatured,1,Alcohol,T51.0X1,T51.0X2,T51.0X3,T51.0X4,,
deterrent NEC,1,Alcohol,T50.6X1,T50.6X2,T50.6X3,T50.6X4,T50.6X5,T50.6X6
diagnostic(gastric function),1,Alcohol,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
ethyl,1,Alcohol,T51.0X1,T51.0X2,T51.0X3,T51.0X4,,
beverage,2,ethyl,T51.0X1,T51.0X2,T51.0X3,T51.0X4,,
grain,1,Alcohol,T51.0X1,T51.0X2,T51.0X3,T51.0X4,,
beverage,2,grain,T51.0X1,T51.0X2,T51.0X3,T51.0X4,,
industrial,1,Alcohol,T51.0X1,T51.0X2,T51.0X3,T51.0X4,,
isopropyl,1,Alcohol,T51.2X1,T51.2X2,T51.2X3,T51.2X4,,
methyl,1,Alcohol,T51.1X1,T51.1X2,T51.1X3,T51.1X4,,
preparation for consumption,1,Alcohol,T51.0X1,T51.0X2,T51.0X3,T51.0X4,,
propyl,1,Alcohol,T51.3X1,T51.3X2,T51.3X3,T51.3X4,,
secondary,2,propyl,T51.2X1,T51.2X2,T51.2X3,T51.2X4,,
radiator,1,Alcohol,T51.1X1,T51.1X2,T51.1X3,T51.1X4,,
rubbing,1,Alcohol,T51.2X1,T51.2X2,T51.2X3,T51.2X4,,
specified type NEC,1,Alcohol,T51.8X1,T51.8X2,T51.8X3,T51.8X4,,
surgical,1,Alcohol,T51.0X1,T51.0X2,T51.0X3,T51.0X4,,
vapor(from any type of Alcohol),1,Alcohol,T59.891,T59.892,T59.893,T59.894,,
wood,1,Alcohol,T51.1X1,T51.1X2,T51.1X3,T51.1X4,,
Alcuronium(chloride),0,,T48.1X1,T48.1X2,T48.1X3,T48.1X4,T48.1X5,T48.1X6
Aldactone,0,,T50.0X1,T50.0X2,T50.0X3,T50.0X4,T50.0X5,T50.0X6
Aldesulfone sodium,0,,T37.1X1,T37.1X2,T37.1X3,T37.1X4,T37.1X5,T37.1X6
Aldicarb,0,,T60.0X1,T60.0X2,T60.0X3,T60.0X4,,
Aldomet,0,,T46.5X1,T46.5X2,T46.5X3,T46.5X4,T46.5X5,T46.5X6
Aldosterone,0,,T50.0X1,T50.0X2,T50.0X3,T50.0X4,T50.0X5,T50.0X6
Aldrin(dust),0,,T60.1X1,T60.1X2,T60.1X3,T60.1X4,,
Aleve,0,,,,,,,
Alexitol sodium,0,,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
Alfacalcidol,0,,T45.2X1,T45.2X2,T45.2X3,T45.2X4,T45.2X5,T45.2X6
Alfadolone,0,,T41.1X1,T41.1X2,T41.1X3,T41.1X4,T41.1X5,T41.1X6
Alfaxalone,0,,T41.1X1,T41.1X2,T41.1X3,T41.1X4,T41.1X5,T41.1X6
Alfentanil,0,,T40.411,T40.412,T40.413,T40.414,T40.415,T40.416
Alfuzosin(hydrochloride),0,,T44.8X1,T44.8X2,T44.8X3,T44.8X4,T44.8X5,T44.8X6
Algae(harmful) (toxin),0,,T65.821,T65.822,T65.823,T65.824,,
Algeldrate,0,,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
Algin,0,,T47.8X1,T47.8X2,T47.8X3,T47.8X4,T47.8X5,T47.8X6
Alglucerase,0,,T45.3X1,T45.3X2,T45.3X3,T45.3X4,T45.3X5,T45.3X6
Alidase,0,,T45.3X1,T45.3X2,T45.3X3,T45.3X4,T45.3X5,T45.3X6
Alimemazine,0,,T43.3X1,T43.3X2,T43.3X3,T43.3X4,T43.3X5,T43.3X6
Aliphatic thiocyanates,0,,T65.0X1,T65.0X2,T65.0X3,T65.0X4,,
Alizapride,0,,T45.0X1,T45.0X2,T45.0X3,T45.0X4,T45.0X5,T45.0X6
Alkali(caustic),0,,T54.3X1,T54.3X2,T54.3X3,T54.3X4,,
Alkaline antiseptic solution(aromatic),0,,T49.6X1,T49.6X2,T49.6X3,T49.6X4,T49.6X5,T49.6X6
Alkalinizing agents(medicinal),0,,T50.901,T50.902,T50.903,T50.904,T50.905,T50.906
Alkalizing agent NEC,0,,T50.901,T50.902,T50.903,T50.904,T50.905,T50.906
Alka-seltzer,0,,T39.011,T39.012,T39.013,T39.014,T39.015,T39.016
Alkavervir,0,,T46.5X1,T46.5X2,T46.5X3,T46.5X4,T46.5X5,T46.5X6
Alkonium(bromide),0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Alkylating drug NEC,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
antimyeloproliferative,1,Alkylating drug NEC,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
lymphatic,1,Alkylating drug NEC,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Alkylisocyanate,0,,T65.0X1,T65.0X2,T65.0X3,T65.0X4,,
Allantoin,0,,T49.4X1,T49.4X2,T49.4X3,T49.4X4,T49.4X5,T49.4X6
Allegron,0,,T43.011,T43.012,T43.013,T43.014,T43.015,T43.016
Allethrin,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Allobarbital,0,,T42.3X1,T42.3X2,T42.3X3,T42.3X4,T42.3X5,T42.3X6
Allopurinol,0,,T50.4X1,T50.4X2,T50.4X3,T50.4X4,T50.4X5,T50.4X6
Allyl,0,,,,,,,
Alcohol,1,Allyl,T51.8X1,T51.8X2,T51.8X3,T51.8X4,,
disulfide,1,Allyl,T46.6X1,T46.6X2,T46.6X3,T46.6X4,T46.6X5,T46.6X6
Allylestrenol,0,,T38.5X1,T38.5X2,T38.5X3,T38.5X4,T38.5X5,T38.5X6
Allylisopropylacetylurea,0,,T42.6X1,T42.6X2,T42.6X3,T42.6X4,T42.6X5,T42.6X6
Allylisopropylmalonylurea,0,,T42.3X1,T42.3X2,T42.3X3,T42.3X4,T42.3X5,T42.3X6
Allylthiourea,0,,T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
Allyltribromide,0,,T42.6X1,T42.6X2,T42.6X3,T42.6X4,T42.6X5,T42.6X6
Allypropymal,0,,T42.3X1,T42.3X2,T42.3X3,T42.3X4,T42.3X5,T42.3X6
Almagate,0,,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
Almasilate,0,,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
Almitrine,0,,T50.7X1,T50.7X2,T50.7X3,T50.7X4,T50.7X5,T50.7X6
Aloes,0,,T47.2X1,T47.2X2,T47.2X3,T47.2X4,T47.2X5,T47.2X6
Aloglutamol,0,,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
Aloin,0,,T47.2X1,T47.2X2,T47.2X3,T47.2X4,T47.2X5,T47.2X6
Aloxidone,0,,T42.2X1,T42.2X2,T42.2X3,T42.2X4,T42.2X5,T42.2X6
Alpha,0,,,,,,,
acetyldigoxin,1,Alpha,T46.0X1,T46.0X2,T46.0X3,T46.0X4,T46.0X5,T46.0X6
adrenergic blocking drug,1,Alpha,T44.6X1,T44.6X2,T44.6X3,T44.6X4,T44.6X5,T44.6X6
amylase,1,Alpha,T45.3X1,T45.3X2,T45.3X3,T45.3X4,T45.3X5,T45.3X6
tocoferol(acetate),1,Alpha,T45.2X1,T45.2X2,T45.2X3,T45.2X4,T45.2X5,T45.2X6
tocopherol,1,Alpha,T45.2X1,T45.2X2,T45.2X3,T45.2X4,T45.2X5,T45.2X6
Alphadolone,0,,T41.1X1,T41.1X2,T41.1X3,T41.1X4,T41.1X5,T41.1X6
Alphaprodine,0,,T40.491,T40.492,T40.493,T40.494,T40.495,T40.496
Alphaxalone,0,,T41.1X1,T41.1X2,T41.1X3,T41.1X4,T41.1X5,T41.1X6
Alprazolam,0,,T42.4X1,T42.4X2,T42.4X3,T42.4X4,T42.4X5,T42.4X6
Alprenolol,0,,T44.7X1,T44.7X2,T44.7X3,T44.7X4,T44.7X5,T44.7X6
Alprostadil,0,,T46.7X1,T46.7X2,T46.7X3,T46.7X4,T46.7X5,T46.7X6
Alsactide,0,,T38.811,T38.812,T38.813,T38.814,T38.815,T38.816
Alseroxylon,0,,T46.5X1,T46.5X2,T46.5X3,T46.5X4,T46.5X5,T46.5X6
Alteplase,0,,T45.611,T45.612,T45.613,T45.614,T45.615,T45.616
Altizide,0,,T50.2X1,T50.2X2,T50.2X3,T50.2X4,T50.2X5,T50.2X6
Altretamine,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Alum(medicinal),0,,T49.4X1,T49.4X2,T49.4X3,T49.4X4,T49.4X5,T49.4X6
nonmedicinal(ammonium) (potassium),1,Alum(medicinal),T56.891,T56.892,T56.893,T56.894,,
"Aluminium, aluminum",0,,,,,,,
acetate,1,Aluminium, aluminum,T49.2X1,T49.2X2,T49.2X3,T49.2X4,T49.2X5,T49.2X6
solution,2,acetate,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
aspirin,1,Aluminium, aluminum,T39.011,T39.012,T39.013,T39.014,T39.015,T39.016
bis(acetylsalicylate),1,Aluminium, aluminum,T39.011,T39.012,T39.013,T39.014,T39.015,T39.016
"carbonate(gel, basic)",1,Aluminium, aluminum,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
chlorhydroxide-complex,1,Aluminium, aluminum,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
chloride,1,Aluminium, aluminum,T49.2X1,T49.2X2,T49.2X3,T49.2X4,T49.2X5,T49.2X6
clofibrate,1,Aluminium, aluminum,T46.6X1,T46.6X2,T46.6X3,T46.6X4,T46.6X5,T46.6X6
diacetate,1,Aluminium, aluminum,T49.2X1,T49.2X2,T49.2X3,T49.2X4,T49.2X5,T49.2X6
glycinate,1,Aluminium, aluminum,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
hydroxide(gel),1,Aluminium, aluminum,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
